,graph,order,freq,pred_average_power,pred_total_time,,,power,time
2,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLLLLLBLLBBLNNLLLBLLNNLBBBLLBL,"((0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (0,), (0,), (1,), (0,), (2,), (0,), (1,), (0,), (0,), (0,), (1,), (7,), (7,), (4,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (2,), (0,), (0,))",3672.62015204841,6139.99157324429,,,3.67262015204841,6.13999157324429
3,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLLLLLBLLBBLNNLLLBLLNNLBBBLLBL,"((0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (0,), (0,), (1,), (0,), (2,), (0,), (1,), (0,), (0,), (0,), (1,), (7,), (7,), (4,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (2,), (0,), (0,))",3672.62015204841,6139.99157324429,,,3.67262015204841,6.13999157324429
97,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLLLLBBLNBBLNNLLLBLLNNLBBBLLBL,"((0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (0,), (0,), (3,), (0,), (0,), (0,), (1,), (7,), (0,), (0,), (1,), (7,), (7,), (4,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (1,), (0,), (0,))",3675.7255848108,6040.53319647263,,,3.6757255848108,6.04053319647263
86,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLLLLBBLNBBLNNLLLBLLNNLBBBLLBL,"((0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (1,), (0,), (3,), (0,), (0,), (0,), (1,), (7,), (0,), (0,), (1,), (7,), (7,), (4,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (1,), (0,), (0,))",3676.8446689965,6024.50937442058,,,3.6768446689965,6.02450937442058
5,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLLLLLBLNLBLNNLLLBLLNNLBBBLLBL,"((0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (0,), (0,), (3,), (0,), (2,), (0,), (1,), (7,), (2,), (0,), (1,), (7,), (7,), (4,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (2,), (0,), (0,))",3679.66579146665,5948.38138952895,,,3.67966579146665,5.94838138952895
7,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLLLBNNBBLNNLLLBLLNNLLBBLLBL,"((0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (7,), (7,), (1,), (0,), (2,), (0,), (7,), (7,), (0,), (0,), (1,), (7,), (7,), (4,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (1,), (0,), (0,))",3686.03003877184,5760.46513549815,,,3.68603003877184,5.76046513549815
58,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLNLBNNLBLNNLLLBLLNNLBLBLLBL,"((0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (7,), (7,), (1,), (7,), (2,), (0,), (7,), (7,), (2,), (0,), (1,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (1,), (0,), (0,))",3696.98025467752,5605.59378406381,,,3.69698025467752,5.60559378406381
54,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLNLBNNLBLNNLLLBLLNNLLLBLLBL,"((0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (7,), (7,), (1,), (7,), (2,), (0,), (7,), (7,), (3,), (0,), (1,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (1,), (0,), (0,))",3703.05853837056,5532.57240421175,,,3.70305853837056,5.53257240421175
39,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBNNLNLBNNLBLNNLLLBLLNNLLLBLLBL,"((0,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (7,), (7,), (4,), (7,), (2,), (0,), (7,), (7,), (3,), (0,), (1,), (7,), (7,), (2,), (1,), (0,), (0,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (1,), (0,), (0,))",3709.23523441339,5493.42735934563,,,3.70923523441339,5.49342735934563
38,YOLOv3,LLNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNLBLNLLBBNNBBLNNLLLBLLNNLBBBLLBL,"((1,), (0,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4,), (0,), (0,), (7,), (3,), (0,), (0,), (0,), (7,), (7,), (0,), (0,), (1,), (7,), (7,), (4,), (1,), (1,), (0,), (0,), (0,), (7,), (7,), (2,), (0,), (0,), (0,), (0,), (2,), (0,), (0,))",3718.24994517545,5409.2691842532,,,3.71824994517545,5.4092691842532
