,graph,order,freq,pred_average_power,pred_total_time
0,YOLOv3,NNNLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,"((7,), (7,), (7,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,))",5539.52371679335,4342.787795730268
1,YOLOv3,LLLLLBLLLLGLLLLBLLBLLLLBBGLLLLLLLLBLLBLBLLBLLLLLLLLLLBLLLLLLLLBLGGBLLLLBBLN,"((5,), (5,), (5,), (4,), (5,), (5,), (5,), (5,), (5,), (5,), (2, 7), (5,), (5,), (5,), (5,), (6,), (5,), (5,), (7,), (5,), (5,), (5,), (4,), (6,), (0,), (3, 7), (5,), (5,), (5,), (5,), (5,), (4,), (5,), (5,), (7,), (4,), (5,), (2,), (5,), (0,), (5,), (5,), (6,), (5,), (5,), (5,), (4,), (5,), (4,), (5,), (5,), (5,), (5,), (7,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (0,), (5,), (1, 7), (0, 7), (7,), (4,), (5,), (5,), (5,), (7,), (1,), (5,), (7,))",5187.696998631777,5297.6989099542625
2,YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLNNN,"((5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (7,), (7,), (7,))",5499.043281178986,4353.563573862285
3,YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLNN,"((5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (7,), (7,))",5503.195578520073,4346.707197392285
4,YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,"((0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,))",3619.833493891691,12266.45949
5,YOLOv3,LLLNLNLNLNLNNBNLNNLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,"((5,), (5,), (5,), (7,), (5,), (7,), (5,), (7,), (5,), (7,), (5,), (7,), (7,), (0,), (7,), (5,), (7,), (7,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (1,))",5133.333234858784,5683.169287574993
6,YOLOv3,NLNLBNLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLBLLLLLLLLLLLLLLLLLLLLLLL,"((7,), (5,), (7,), (5,), (0,), (7,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (0,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,))",5066.669918060518,6034.489251896897
7,YOLOv3,LLLLLLLLBLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLBLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,"((5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (0,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (4,), (5,), (5,), (5,), (5,), (5,), (0,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,))",5325.388637633709,4705.332761890125
8,YOLOv3,LLLLLBLLLLGLLLLBLLBLLLLBBGLLLLLLLLBLLBLBLLBLLLLLLLLLLBLLLLLLLLBLGGBLLLLBBLN,"((5,), (5,), (5,), (4,), (5,), (5,), (5,), (5,), (5,), (5,), (2, 7), (5,), (5,), (5,), (5,), (6,), (5,), (5,), (7,), (5,), (5,), (5,), (4,), (6,), (0,), (3, 7), (5,), (5,), (5,), (5,), (5,), (4,), (5,), (5,), (7,), (4,), (5,), (2,), (5,), (0,), (5,), (5,), (6,), (5,), (5,), (5,), (4,), (5,), (4,), (5,), (5,), (5,), (5,), (7,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (0,), (5,), (1, 7), (0, 7), (7,), (4,), (5,), (5,), (5,), (7,), (1,), (5,), (7,))",5187.696998631777,5297.6989099542625
9,YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,"((0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (5,), (0,), (5,), (5,), (0,), (0,), (0,), (5,), (5,), (5,), (5,), (0,), (0,), (5,), (5,), (5,), (0,), (0,), (5,), (0,), (0,), (5,), (5,), (0,), (5,), (0,))",3704.736780309147,11375.675711323416
