order,host,freq,graph,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
GLBBBBBB,BL,{{4-5-3}},Alex,16.1869,148.888,165.0749,4433.256499910345,5189.270288040244,71.76067963839877,772.6200746457359,844.3807542841347
GLBBBBBB,BL,{{4-4-3}},Alex,18.9084,156.4306,175.339,4223.960974922514,5046.502311419423,79.86834369822485,789.4273844767271,869.2957281749519
GLNNNNNN,BL,{{4-5-3}},Alex,16.3712,59.9849,76.3561,4314.686838802223,5141.481203344563,70.63660117539897,308.41123583450326,379.0478370099022
GLNNNNNN,BL,{{4-4-3}},Alex,18.8199,60.22829999999999,79.0482,4071.043392504931,5097.164211311218,76.61662954260355,306.9935352681154,383.61016481071897
GNNNNNNB,BL,{{0-6-3}},Alex,14.3233,69.49208999999999,83.81539,4917.461538461538,4424.041394214082,70.43427685384616,307.43588273045043,377.8701595842966
GNNNNNNB,BL,{{1-6-3}},Alex,14.7001,69.2765,83.9766,4826.613412228797,4398.213187722287,70.95169982110454,304.69281589924304,375.6445157203476
GNNNNNNB,BL,{{2-4-3}},Alex,18.8395,70.23091,89.07041,4197.1449704142005,4252.283984080469,79.07211267011834,298.6417737803969,377.7138864505153
GNNNNNNB,BL,{{4-4-3}},Alex,18.8649,70.39217,89.25707,4197.864891518738,4273.576041782058,79.19230139201183,300.8262912410497,380.01859263306153
GNNNNNNL,BL,{{3-6-3}},Alex,14.3548,68.3104,82.6652,4757.047397047397,4447.372145726101,68.28646397513596,303.80177022340825,372.0882341985442
GNNNNNNL,BL,{{1-6-3}},Alex,14.4217,69.97115000000001,84.39285000000001,4635.534576534576,4366.8751393534,66.8522890024087,305.5552754069677,372.4075644093764
GNNNNNNL,BL,{{4-5-3}},Alex,16.2878,69.01368,85.30148,4439.273892773893,4339.075183270836,72.30600531072261,299.4555461941948,371.7615515049174
GNNNNNNL,BL,{{2-5-3}},Alex,16.2798,69.30922000000001,85.58902000000002,4413.695804195804,4324.213320495929,71.85408495314685,299.7078523571829,371.56193731032977
GNNNNNNL,BL,{{2-4-3}},Alex,19.0622,69.32875999999999,88.39095999999999,4122.027972027972,4231.116480035537,78.5749216083916,293.3380589764285,371.9129805848201
GNNNNNNL,BL,{{4-5-2}},Alex,16.2007,75.16801,91.36871,4336.703962703962,4139.932759110191,70.25763988857808,311.1905070361224,381.4481469247005
GNNNNNNL,BL,{{3-3-3}},Alex,22.4897,69.9491,92.4388,3885.6803613053607,4196.140468227425,87.38778562164916,293.516249226087,380.90403484773617
GNNNNNNL,BL,{{1-3-3}},Alex,22.8517,71.0315,93.8832,3825.836996336996,4156.388378914744,87.42687928919415,295.2345011368826,382.6613804260768
GNNNNNNL,BL,{{2-3-3}},Alex,22.8819,70.4618,93.3437,3862.057692307692,4177.460387335966,88.37121790961538,294.3513783203893,382.7225962300047
GNNNNNNL,BL,{{1-4-2}},Alex,19.0191,76.62939,95.64849,3965.389687235841,4056.1935666574327,75.41814300050719,310.8236387348834,386.2417817353906
GNNNNNNL,BL,{{2-4-2}},Alex,19.0915,75.54567,94.63717,3962.273175542406,4032.874564441161,75.64573833086784,304.6662109966657,380.3119493275336
NNNNNNNB,BL,{{0-6-0}},Alex,15.8784,61.31939,77.19779,4764.996503496504,3911.0804368631934,75.66052048111888,239.8250666293845,315.4855871105034
NNNNNNNB,BL,{{1-5-0}},Alex,17.9967,61.03716,79.03386,4336.558185404339,3810.178275840218,78.04373669526628,232.5624610509836,310.60619774624985
NNNNNNNB,BL,{{4-4-0}},Alex,21.3394,61.85280999999999,83.19220999999999,4336.732600732601,4070.260679751768,92.54327166007327,251.7570604751569,344.30033213523024
NNNNNNNB,BL,{{0-4-0}},Alex,21.1768,62.39845000000001,83.57525000000001,4026.37728937729,3710.194072187975,85.26578658168499,231.5103593037178,316.7761458854028
NNNNNNNB,BL,{{1-3-0}},Alex,25.3392,63.42887999999999,88.76808,3746.5162411118295,3659.8922187662974,94.93372433678088,232.1428643570612,327.07658869384204
NNNNNNNB,LL,{{4-6-0}},Alex,15.8754,60.57266,76.44806,4793.600233100233,3997.932100419905,76.10032114055943,242.1653818218208,318.2657029623802
NNNNNNNB,LL,{{0-3-0}},Alex,25.246,63.319100000000006,88.5651,3808.443027560675,3706.8996556914008,96.1479526737968,234.7175499886894,330.86550266248616
NNNNNNNN,BB,{{5-7-4}},Alex,14.1691,55.6386,69.8077,5084.102564102564,4108.73423279945,72.03715764102566,228.60422048503548,300.6413781260611
