Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power
MobileV1,N,0,0,0,in,62.4853,3181.8266364533984
MobileV1,N,0,0,0,task,3.1669,3282.0652326553027
MobileV1,N,0,0,2,task,9.1547,3260.8706700630983
MobileV1,N,0,0,4,task,4.8751,3250.421805136605
MobileV1,N,0,0,6,task,2.3138,3243.7695768000117
MobileV1,N,0,0,8,task,1.9765,3228.297147468974
MobileV1,N,0,0,10,task,1.9519,3220.0024476727267
MobileV1,N,0,0,12,task,1.7981,3221.750915750916
MobileV1,N,1,1,0,in,43.1565,3240.8240362086513
MobileV1,N,1,1,0,task,3.1723,3333.529602789684
MobileV1,N,1,1,2,task,9.15,3358.760250743707
MobileV1,N,1,1,4,task,4.8764,3353.128425180133
MobileV1,N,1,1,6,task,2.3006,3315.0181590854963
MobileV1,N,1,1,8,task,1.9798,3298.3431952662722
MobileV1,N,1,1,10,task,1.9553,3294.2961397576782
MobileV1,N,1,1,12,task,1.802,3307.6783216783215
MobileV1,N,2,2,0,in,31.8226,3328.7669675934417
MobileV1,N,2,2,0,task,3.1656,3459.662964252105
MobileV1,N,2,2,2,task,9.1678,3511.0787425029184
MobileV1,N,2,2,4,task,4.8913,3459.30966469428
MobileV1,N,2,2,6,task,2.3249,3420.810439560439
MobileV1,N,2,2,8,task,1.9838,3382.679487179487
MobileV1,N,2,2,10,task,1.9592,3402.7972027972023
MobileV1,N,2,2,12,task,1.8088,3388.7542735042734
MobileV1,N,3,3,0,in,25.3178,3484.052380952381
MobileV1,N,3,3,0,task,3.1634,3567.576771055032
MobileV1,N,3,3,2,task,9.1671,3615.975547896989
MobileV1,N,3,3,4,task,4.8899,3576.1613024656504
MobileV1,N,3,3,6,task,2.3165,3500.64313891237
MobileV1,N,3,3,8,task,1.9796,3450.195804195804
MobileV1,N,3,3,10,task,1.9625,3464.083916083916
MobileV1,N,3,3,12,task,1.8135,3432.0155677655684
MobileV1,N,4,4,0,in,21.3503,3637.264676499971
MobileV1,N,4,4,0,task,3.1748,3715.87012987013
MobileV1,N,4,4,2,task,9.1676,3791.8623481781374
MobileV1,N,4,4,4,task,4.8956,3751.62328899171
MobileV1,N,4,4,6,task,2.321,3641.16594943518
MobileV1,N,4,4,8,task,1.9825,3549.720085470085
MobileV1,N,4,4,10,task,1.9623,3590.2991452991455
MobileV1,N,4,4,12,task,1.8015,3517.495421245421
MobileV1,N,5,5,0,in,18.2476,3812.1055088702146
MobileV1,N,5,5,0,task,3.1622,3901.967023434381
MobileV1,N,5,5,2,task,9.1466,3966.4039575620454
MobileV1,N,5,5,4,task,4.8915,3934.249953692678
MobileV1,N,5,5,6,task,2.3115,3799.3286713286707
MobileV1,N,5,5,8,task,1.9889,3782.053418803419
MobileV1,N,5,5,10,task,1.9568,3698.495726495726
MobileV1,N,5,5,12,task,1.7985,3696.3919413919425
MobileV1,N,6,6,0,in,16.0898,4081.45173453997
MobileV1,N,6,6,0,task,3.1722,4130.203664799253
MobileV1,N,6,6,2,task,9.1641,4147.8646091811415
MobileV1,N,6,6,4,task,4.8914,4102.410544177185
MobileV1,N,6,6,6,task,2.313,3939.6511266511266
MobileV1,N,6,6,8,task,1.9773,3919.5421245421244
MobileV1,N,6,6,10,task,1.9595,3903.9850427350425
MobileV1,N,6,6,12,task,1.8038,3757.8827838827833
MobileV1,N,7,7,0,in,14.4721,4359.342657342657
MobileV1,N,7,7,0,task,3.1667,4363.75930115636
MobileV1,N,7,7,2,task,9.1472,4444.960383331907
MobileV1,N,7,7,4,task,4.8833,4374.212669683258
MobileV1,N,7,7,6,task,2.3109,4205.74358974359
MobileV1,N,7,7,8,task,1.9745,4081.1416361416364
MobileV1,N,7,7,10,task,1.9678,4052.8937728937726
MobileV1,N,7,7,12,task,1.7981,4016.871794871795
MobileV1,N,0,0,0,out,0.0025082,
MobileV1,N,0,0,0,NPU_in,9.5217,
MobileV1,N,0,0,0,NPU_run,18.3389,
MobileV1,N,0,0,0,NPU_run_profile,3.1669,
MobileV1,N,0,0,0,NPU_out,29.2974,
MobileV1,N,0,0,2,in,0.0107625,
MobileV1,N,0,0,2,out,0.0028877,
MobileV1,N,0,0,2,NPU_in,58.3505,
MobileV1,N,0,0,2,NPU_run,28.2538,
MobileV1,N,0,0,2,NPU_run_profile,9.1547,
MobileV1,N,0,0,2,NPU_out,26.0999,
MobileV1,N,0,0,4,in,0.0151083,
MobileV1,N,0,0,4,out,0.0023333,
MobileV1,N,0,0,4,NPU_in,30.0536,
MobileV1,N,0,0,4,NPU_run,15.6551,
MobileV1,N,0,0,4,NPU_run_profile,4.8751,
MobileV1,N,0,0,4,NPU_out,12.1268,
MobileV1,N,0,0,6,in,0.0090416,
MobileV1,N,0,0,6,out,0.0023042,
MobileV1,N,0,0,6,NPU_in,15.1291,
MobileV1,N,0,0,6,NPU_run,9.3421,
MobileV1,N,0,0,6,NPU_run_profile,2.3138,
MobileV1,N,0,0,6,NPU_out,6.6023,
MobileV1,N,0,0,8,in,0.008925,
MobileV1,N,0,0,8,out,0.002304,
MobileV1,N,0,0,8,NPU_in,7.5803,
MobileV1,N,0,0,8,NPU_run,8.3466,
MobileV1,N,0,0,8,NPU_run_profile,1.9765,
MobileV1,N,0,0,8,NPU_out,6.5636,
MobileV1,N,0,0,10,in,0.0084874,
MobileV1,N,0,0,10,out,0.0022459,
MobileV1,N,0,0,10,NPU_in,7.7383,
MobileV1,N,0,0,10,NPU_run,8.5239,
MobileV1,N,0,0,10,NPU_run_profile,1.9519,
MobileV1,N,0,0,10,NPU_out,6.3592,
MobileV1,N,0,0,12,in,0.0098,
MobileV1,N,0,0,12,out,0.0025083,
MobileV1,N,0,0,12,NPU_in,7.3464,
MobileV1,N,0,0,12,NPU_run,7.1059,
MobileV1,N,0,0,12,NPU_run_profile,1.7981,
MobileV1,N,0,0,12,NPU_out,2.9297,
MobileV1,N,1,1,0,out,0.0020125,
MobileV1,N,1,1,0,NPU_in,6.5018,
MobileV1,N,1,1,0,NPU_run,16.1252,
MobileV1,N,1,1,0,NPU_run_profile,3.1723,
MobileV1,N,1,1,0,NPU_out,20.0091,
MobileV1,N,1,1,2,in,0.0081957,
MobileV1,N,1,1,2,out,0.0020709,
MobileV1,N,1,1,2,NPU_in,39.8834,
MobileV1,N,1,1,2,NPU_run,25.2465,
MobileV1,N,1,1,2,NPU_run_profile,9.15,
MobileV1,N,1,1,2,NPU_out,18.8564,
MobileV1,N,1,1,4,in,0.0072334,
MobileV1,N,1,1,4,out,0.0016334,
MobileV1,N,1,1,4,NPU_in,19.5128,
MobileV1,N,1,1,4,NPU_run,14.6461,
MobileV1,N,1,1,4,NPU_run_profile,4.8764,
MobileV1,N,1,1,4,NPU_out,8.8926,
MobileV1,N,1,1,6,in,0.0071167,
MobileV1,N,1,1,6,out,0.0015752,
MobileV1,N,1,1,6,NPU_in,9.9778,
MobileV1,N,1,1,6,NPU_run,8.6511,
MobileV1,N,1,1,6,NPU_run_profile,2.3006,
MobileV1,N,1,1,6,NPU_out,4.6352,
MobileV1,N,1,1,8,in,0.0137665,
MobileV1,N,1,1,8,out,0.001575,
MobileV1,N,1,1,8,NPU_in,4.9584,
MobileV1,N,1,1,8,NPU_run,7.7422,
MobileV1,N,1,1,8,NPU_run_profile,1.9798,
MobileV1,N,1,1,8,NPU_out,4.6503,
MobileV1,N,1,1,10,in,0.0100334,
MobileV1,N,1,1,10,out,0.0016042,
MobileV1,N,1,1,10,NPU_in,4.9503,
MobileV1,N,1,1,10,NPU_run,7.9794,
MobileV1,N,1,1,10,NPU_run_profile,1.9553,
MobileV1,N,1,1,10,NPU_out,4.5871,
MobileV1,N,1,1,12,in,0.0061543,
MobileV1,N,1,1,12,out,0.0018666,
MobileV1,N,1,1,12,NPU_in,4.91,
MobileV1,N,1,1,12,NPU_run,6.4195,
MobileV1,N,1,1,12,NPU_run_profile,1.802,
MobileV1,N,1,1,12,NPU_out,1.9265,
MobileV1,N,2,2,0,out,0.0015461,
MobileV1,N,2,2,0,NPU_in,4.8027,
MobileV1,N,2,2,0,NPU_run,14.5294,
MobileV1,N,2,2,0,NPU_run_profile,3.1656,
MobileV1,N,2,2,0,NPU_out,15.2508,
MobileV1,N,2,2,2,in,0.0077873,
MobileV1,N,2,2,2,out,0.0015749,
MobileV1,N,2,2,2,NPU_in,29.7883,
MobileV1,N,2,2,2,NPU_run,23.7509,
MobileV1,N,2,2,2,NPU_run_profile,9.1678,
MobileV1,N,2,2,2,NPU_out,14.9962,
MobileV1,N,2,2,4,in,0.0065626,
MobileV1,N,2,2,4,out,0.0013708,
MobileV1,N,2,2,4,NPU_in,14.6831,
MobileV1,N,2,2,4,NPU_run,13.2402,
MobileV1,N,2,2,4,NPU_run_profile,4.8913,
MobileV1,N,2,2,4,NPU_out,6.6589,
MobileV1,N,2,2,6,in,0.0054832,
MobileV1,N,2,2,6,out,0.0011958,
MobileV1,N,2,2,6,NPU_in,7.4306,
MobileV1,N,2,2,6,NPU_run,7.7551,
MobileV1,N,2,2,6,NPU_run_profile,2.3249,
MobileV1,N,2,2,6,NPU_out,3.5169,
MobileV1,N,2,2,8,in,0.0048998,
MobileV1,N,2,2,8,out,0.0010499,
MobileV1,N,2,2,8,NPU_in,3.594,
MobileV1,N,2,2,8,NPU_run,7.1607,
MobileV1,N,2,2,8,NPU_run_profile,1.9838,
