graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime
Google,LLLLLLLLLLL,BB,"(('max',),)",34.395,164.071,0.295371,198.466,3753.97826617827,5320.34088725662,129.118082465202,872.913649713081,1.10881631445934,1003.14054849274,0.996869283673698,198.466
Google,LLLLLLLLLLL,BB,"(('min',),)",118.055,455.975,0.826438,574.03,3001.09134102457,3447.10504009819,354.293838264655,1571.79372065877,2.48021592569366,1928.56777484912,0.518519500865472,574.03
Google,BBBBBBBBBBB,BB,"(('max',),)",14.0125,163.9815,0.189379,177.994,5186.82517482517,6589.30203964015,72.6803877622377,1080.52363241325,0.982275764783216,1154.18629594027,0.866411257452452,177.994
Google,BBBBBBBBBBB,BB,"(('min',),)",61.8741,564.8669,0.784438,626.741,3235.83083891132,3586.85687731277,200.214120909883,2026.09672503135,2.53830867161392,2228.84915461284,0.448662036159061,626.741
Google,GGGGGGGGGGG,BB,"(('max',),)",12.2962,166.0338,0.355279,178.33,5177.21153846154,5834.21249989536,63.6600285192308,968.676471365126,1.83935453817308,1034.17585442253,0.96695353669651,178.33
Google,GGGGGGGGGGG,BB,"(('min',),)",53.3616,587.8284,1.27193,641.19,3318.26378075366,3682.16341815298,177.067864563065,2164.4802306314,4.220599250654,2345.76869444512,0.426299490810003,641.19
Google,NNNNNNNNNNN,BB,"(('max',),)",14.0446,12.8504,0.1505,26.895,4728.88111888112,4450.08721833722,66.4152437622378,57.1854007905206,0.711696608391609,124.31234116115,8.04425361681242,26.895
Google,NNNNNNNNNNN,BB,"(('min',),)",61.8164,23.9436,0.721437,85.76,3238.31403999727,3383.9767471091,200.180916022087,81.0245856420815,2.33623956607351,283.541741230242,3.52681758834223,85.76
Google,LLLLLLLLLLL,BB,"((0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,))",121.074,457.502,0.653217,578.576,3028.36007357235,3383.34017919255,366.655667547699,1547.88489866095,1.97817628217871,1916.51874249083,0.521779400237087,578.576
Google,LLLLLLLLLLL,BB,"((1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,))",82.0694,317.5996,0.463867,399.669,2985.65154597369,3585.37496060162,245.030630987133,1138.71365333709,1.38494522567618,1385.1292295499,0.721954297596444,399.669
Google,LLLLLLLLLLL,BB,"((2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,))",60.3977,246.4133,0.354317,306.811,3060.94038764173,3835.32202920429,184.873759250669,945.074357778926,1.08454321532806,1131.03266024492,0.884147766151555,306.811
Google,LLLLLLLLLLL,BB,"((3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,))",48.9187,209.7703,0.304558,258.689,3156.54330211512,4116.12692944835,154.413994833179,863.441180828459,0.961350515005577,1018.81652617664,0.981530996314658,258.689
Google,LLLLLLLLLLL,BB,"((4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,))",41.1671,189.5629,0.264104,230.73,3221.16476829459,4422.22555412927,132.60601213286,838.289900494852,0.850722499965673,971.746635127678,1.0290748265556,230.73
Google,LLLLLLLLLLL,BB,"((5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,))",34.9639,168.6131,0.237504,203.577,3411.4807250221,4951.89841128369,119.2786709216,834.954942011617,0.81024031811565,955.043853251333,1.0470723376687,203.577
Google,BBBBBBBBBBB,BB,"((0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,))",61.286,564.209,0.757867,625.495,3252.58028052164,3463.44346398851,199.337635072049,1954.1059733735,2.46502325945809,2155.908631705,0.463841549355989,625.495
Google,BBBBBBBBBBB,BB,"((1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,))",41.7805,391.6155,0.491284,433.396,3244.50366473943,3671.51143383933,135.556985364646,1437.82078591871,1.59397273842785,1574.97174402178,0.634932025793963,433.396
Google,BBBBBBBBBBB,BB,"((2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,))",30.5542,299.0618,0.309954,329.616,3383.62482345241,3938.72336764526,103.38394958073,1177.92170003005,1.04876804852837,1282.35441765931,0.779815615892918,329.616
Google,BBBBBBBBBBB,BB,"((3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,))",24.7049,275.8971,0.2541,300.602,3532.5931911226,4143.10783067509,87.2723615273648,1143.07143547055,0.897631929864253,1231.24142892778,0.81218839498509,300.602
Google,BBBBBBBBBBB,BB,"((4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,))",20.8419,215.1181,0.221083,235.96,3832.35229476406,4583.40465567613,79.8735032922431,985.973301060204,0.847267942383322,1066.69407229483,0.937475913640967,235.96
Google,BBBBBBBBBBB,BB,"((5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,))",17.6422,190.4118,0.19845,208.054,4150.44674556213,5067.88361590539,73.2230115745562,964.984841495053,0.823656156656805,1039.03150922627,0.962434720333619,208.054
Google,BBBBBBBBBBB,BB,"((6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",15.5165,176.5045,0.180658,192.021,4457.8344988345,5598.29730349569,69.1699890011655,988.124666404855,0.805343464890443,1058.09999887091,0.945090257127957,192.021
Google,BBBBBBBBBBB,BB,"((7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,))",13.8657,162.8873,0.167213,176.753,4990.31623931624,6419.09868939688,69.1942278794872,1045.5896539494,0.834445749324786,1115.61832757821,0.896363904464358,176.753
Google,GGGGGGGGGGG,BB,"((0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7))",12.3617,581.4483,0.371525,593.81,4659.4123931624,3707.70575139925,57.5982581805556,2155.83920605132,1.73108818936966,2215.16855242124,0.451432916428401,593.81
Google,GGGGGGGGGGG,BB,"((1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7))",12.4505,396.5805,0.351079,409.031,4697.82051282051,3911.64713792393,58.4902142948718,1551.28297778144,1.64930612782051,1611.42249820413,0.620569714717561,409.031
Google,GGGGGGGGGGG,BB,"((2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7))",12.3598,307.4682,0.335942,319.828,4722.71367521368,4186.75816258932,58.371796482906,1287.29499608665,1.58655787747863,1347.25335044703,0.742250891169201,319.828
Google,GGGGGGGGGGG,BB,"((3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7))",12.4964,214.3436,0.384563,226.84,4847.15384615385,4828.20151704228,60.5719733230769,1034.8940946883,1.86403602453846,1097.33010403592,0.911302803342454,226.84
Google,GGGGGGGGGGG,BB,"((4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7))",12.4456,170.9784,0.467454,183.424,5071.51282051282,5785.75053375829,63.1180199589744,989.238369061139,2.370698954,1054.72708797411,0.948112560492561,183.424
