graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime
ResV1_50,LLLLLLLLLLLLLLLLLL,BB,"(('max',),)",34.5751,360.7539,0.287262,395.329,3670.35059171598,5448.88671728471,126.902738743639,1965.70713391866,1.05435225167752,2093.66422491397,0.477631507526518,395.329
ResV1_50,LLLLLLLLLLLLLLLLLL,BB,"(('min',),)",119.688,1018.862,0.818912,1138.55,3005.0538304079,3527.10290556672,359.668882853861,3593.63112057152,2.460874642367,3955.76087806775,0.252795866793765,1138.55
ResV1_50,BBBBBBBBBBBBBBBBBB,BB,"(('max',),)",13.9148,420.3372,0.185092,434.252,5106.38150738151,6561.09787710588,71.0542773989122,2757.87351058863,0.945150365964258,2829.87293835351,0.353372756227644,434.252
ResV1_50,BBBBBBBBBBBBBBBBBB,BB,"(('min',),)",61.2429,1364.2371,0.656804,1425.48,3257.22399188274,3624.12508956673,199.481843212475,4944.16590222776,2.13935774676455,5145.787103187,0.194333729699128,1425.48
ResV1_50,GGGGGGGGGGGGGGGGGG,BB,"(('max',),)",12.3584,492.2046,0.405534,504.563,5132.4594017094,6134.66824829641,63.4289862700855,3019.51193128543,2.08138679101282,3085.02230434653,0.324146765030219,504.563
ResV1_50,GGGGGGGGGGGGGGGGGG,BB,"(('min',),)",53.609,1548.581,1.26785,1602.19,3298.0755475968,3776.99693279169,176.806532031117,5848.98568717948,4.18146508302061,6029.97368429362,0.16583820300986,1602.19
ResV1_50,NNNNNNNNNNNNNNNNNN,BB,"(('max',),)",13.9327,25.1639,0.258738,39.0966,4785.07692307692,4268.60918085183,66.6690412461539,107.414854566037,1.23808123292308,175.321977045114,5.703791486122,39.0966
ResV1_50,NNNNNNNNNNNNNNNNNN,BB,"(('min',),)",61.4019,35.2158,0.743809,96.6177,3230.6810414014,3600.88373148591,198.369954236025,126.808001311261,2.40300963472374,327.58096518201,3.05268042495809,96.6177
ResV1_50,LLLLLLLLLLLLLLLLLL,BB,"((0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,))",122.536,1013.984,0.654442,1136.52,3015.79661612619,3496.08535712851,369.543654153639,3544.9746147626,1.97366396905086,3916.49193288529,0.255330539967,1136.52
ResV1_50,LLLLLLLLLLLLLLLLLL,BB,"((1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,))",83.0114,705.8116,0.457042,788.823,3013.63841367145,3715.30437239683,250.166343812646,2622.3049235684,1.37735932786123,2873.84862670891,0.347965439343681,788.823
ResV1_50,LLLLLLLLLLLLLLLLLL,BB,"((2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,))",61.109,538.641,0.35945,599.75,3075.6910934946,4009.42723149832,187.952407032362,2159.64189340148,1.10555716355663,2348.6998575974,0.425767471635541,599.75
ResV1_50,LLLLLLLLLLLLLLLLLL,BB,"((3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,))",49.2044,457.7296,0.304646,506.934,3167.69963369963,4335.12930076064,155.86475985641,1984.31700078545,0.965027022608059,2141.14678766447,0.46703944155589,506.934
ResV1_50,LLLLLLLLLLLLLLLLLL,BB,"((4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,))",41.7764,405.7456,0.261596,447.522,3251.17976786942,4698.68021700347,135.82258645442,1906.4688238562,0.850495622555569,2043.14190593318,0.48944226394459,447.522
ResV1_50,LLLLLLLLLLLLLLLLLL,BB,"((5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,))",35.4848,368.5302,0.236221,404.015,3417.51739749783,5322.21892054124,121.269921346731,1961.39840323085,0.807289377154335,2083.47561395473,0.479967220783476,404.015
ResV1_50,BBBBBBBBBBBBBBBBBB,BB,"((0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,))",67.7222,1395.5878,0.574029,1463.31,3231.16163598306,3495.76325765042,218.821374544372,4878.64455406518,1.85478048274172,5099.3207090923,0.19610455138014,1463.31
ResV1_50,BBBBBBBBBBBBBBBBBB,BB,"((1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,))",45.9808,965.2892,0.393079,1011.27,3235.13164583643,3745.83002699835,148.753941180876,3615.80927009722,1.27166231221374,3765.8348735903,0.265545366052286,1011.27
ResV1_50,BBBBBBBBBBBBBBBBBB,BB,"((2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,))",33.7568,739.1902,0.305258,772.947,3420.09935897436,4031.66356556959,115.451610041026,2980.1661973661,1.04401269012179,3096.66182009724,0.322928384853015,772.947
ResV1_50,BBBBBBBBBBBBBBBBBB,BB,"((3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,))",27.3577,637.5523,0.268071,664.91,3538.57956345714,4278.65616843762,96.8073981231913,2727.86708109659,0.948590562155518,2825.62306978194,0.353904245295242,664.91
ResV1_50,BBBBBBBBBBBBBBBBBB,BB,"((4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,))",23.0578,543.4122,0.223679,566.47,3805.13354700855,4682.20729866854,87.7380083002137,2544.36856902553,0.851128466661325,2632.9577057924,0.379801011539243,566.47
ResV1_50,BBBBBBBBBBBBBBBBBB,BB,"((5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,))",19.4489,484.1581,0.196612,503.607,4090.36612426036,5156.22990692735,79.5531217141272,2496.43047490112,0.804215064423077,2576.78781167967,0.388080072199718,503.607
