graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime
Alex,LLLLLLLL,BB,"(('max',),)",35.6723,124.22969999999998,0.303742,159.902,3574.924895901819,5065.964521941312,127.52579336407848,629.3432527714126,1.0858548377310102,757.9549009732222,1.319339710998622,159.902
Alex,LLLLLLLL,BB,"(('min',),)",122.763,286.697,0.803483,409.46,2958.052312803476,3528.171487005828,363.1393760766931,1011.51618081011,2.376744746448275,1377.032301633251,0.7261993773232,409.46
Alex,BBBBBBBB,BB,"(('max',),)",14.2865,144.7175,0.189467,159.004,5008.622377622378,6135.819115236219,71.5556835979021,887.9604028091976,0.9489686560209792,960.4650550631206,1.0411622939621483,159.004
Alex,BBBBBBBB,BB,"(('min',),)",63.1712,411.5838,0.939925,474.755,3258.0587616460098,3611.177292747862,205.8154816436924,1486.3020726228774,3.0623308815401256,1695.17988514811,0.5899078963602902,474.755
Alex,GGGGGGGG,BB,"(('max',),)",12.7955,106.4095,0.354492,119.205,5030.675213675213,6026.232042748897,64.37000469658119,641.2483385528888,1.7833341178461537,707.4016773673161,1.41362401587967,119.205
Alex,GGGGGGGG,BB,"(('min',),)",55.1255,310.7085,1.29576,365.834,3232.9610231199304,3769.271528255857,178.21859287999774,1171.144702637085,4.189141575317881,1353.5524370924006,0.7387966454761994,365.834
Alex,NNNNNNNN,BB,"(('max',),)",14.3414,15.4833,0.174358,29.8247,4952.213675213676,4529.224278988985,71.02167720170941,70.12733827887016,0.8634580719829061,142.01247355256248,7.041634970394866,29.8247
Alex,NNNNNNNN,BB,"(('min',),)",63.1184,26.5926,0.748738,89.711,3235.7575645844327,3459.7054192797223,204.23584026446608,92.00256233273792,2.422734647391819,298.6611372445958,3.3482762746631667,89.711
Alex,LLLLLLLL,BB,"((0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,))",119.726,284.287,0.632391,404.013,2960.1451020646296,3458.0420654672785,354.4063324897898,983.076404665496,1.871969121239753,1339.3547062765256,0.7466282048465347,404.013
Alex,LLLLLLLL,BB,"((1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,))",81.1395,197.9455,0.460075,279.085,2962.6643560941275,3726.669377135945,240.38910452129943,737.6774331918631,1.3630478036300058,979.4295855167926,1.0210024434501368,279.085
