graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime
SqueezeV1,LLLLLLLLLL,BB,"(('max',),)",35.5286,108.4794,0.317363,144.008,3709.96383957922,5262.66745599088,131.809821270874,570.891008025417,1.17740525402038,703.878234550312,1.42070027302218,144.008
SqueezeV1,LLLLLLLLLL,BB,"(('min',),)",123.096,274.046,0.822821,397.142,2993.1738681237,3545.02043907645,368.447730470555,971.498671247146,2.46284631534341,1342.40924803304,0.744929313817856,397.142
SqueezeV1,BBBBBBBBBB,BB,"(('max',),)",14.3106,101.4544,0.191654,115.765,5298.56643356643,6896.13516049053,75.8256648041958,699.643255026471,1.01549145125874,776.484411281925,1.28785586094261,115.765
SqueezeV1,BBBBBBBBBB,BB,"(('min',),)",63.5614,343.5116,1.29348,407.073,3237.85338272838,3693.33450497937,205.802494000952,1268.70324514067,4.18809859349151,1478.69383773512,0.676272514621201,407.073
SqueezeV1,GGGGGGGGGG,BB,"(('max',),)",12.7091,92.6679,0.369104,105.377,5201.66666666667,6130.42838972558,66.1085018333333,568.093924976251,1.91995597333333,636.122382782918,1.57202454600825,105.377
SqueezeV1,GGGGGGGGGG,BB,"(('min',),)",54.9989,300.1281,1.27012,355.127,3268.6415519544,3738.85994240448,179.771689851785,1122.13693067997,4.15156700796833,1306.06018753972,0.765661498252804,355.127
SqueezeV1,NNNNNNNNNN,BB,"(('max',),)",14.3493,10.0595,0.176225,24.4088,4889.81118881119,4488.28296703297,70.1653676916084,45.1498825068681,0.861706976748252,116.176957175225,8.60755888529377,24.4088
SqueezeV1,NNNNNNNNNN,BB,"(('min',),)",62.9823,20.8585,0.699446,83.8408,3229.70385154595,3337.03296703297,203.414176889222,69.6055021428571,2.25900344014841,275.278682472228,3.63268230950243,83.8408
SqueezeV1,LLLLLLLLLL,BB,"((0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,))",125.751,276.567,0.661238,402.318,3031.63636659865,3499.87311065581,381.231304736147,967.949406594745,2.00463316777696,1351.18534449867,0.740090916521175,402.318
SqueezeV1,LLLLLLLLLL,BB,"((1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,))",85.3028,193.4122,0.476467,278.715,3115.98981230865,3802.72851222919,265.802655761402,735.494087552974,1.48466631790127,1002.78140963228,0.997226305149297,278.715
SqueezeV1,LLLLLLLLLL,BB,"((2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,))",63.3301,150.1009,0.36645,213.431,3068.95733208978,3972.14269606054,194.357374736979,596.222193607114,1.1246194143443,791.704187758437,1.26309803012576,213.431
