graph,order,freq,host,input_time,task_time,total_time,input_power,task_power,output_time,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime
YOLOv3,LGLBLLLNGBBGGBNGLBNBNNNLBLGBBGLLBLBBLBNBLLNLGLLNNGNGNGGBLNLNGGBBNBGGGLGBBGL,"((5,), (4, 7), (5,), (7,), (5,), (5,), (5,), (7,), (4, 7), (7,), (7,), (4, 7), (4, 7), (7,), (7,), (4, 7), (5,), (7,), (7,), (7,), (7,), (7,), (7,), (5,), (7,), (5,), (4, 7), (7,), (7,), (4, 7), (5,), (5,), (7,), (5,), (7,), (7,), (5,), (7,), (7,), (7,), (5,), (5,), (7,), (5,), (4, 7), (5,), (5,), (7,), (7,), (4, 7), (7,), (4, 7), (7,), (4, 7), (4, 7), (7,), (5,), (7,), (5,), (7,), (4, 7), (4, 7), (7,), (7,), (7,), (7,), (4, 7), (4, 7), (4, 7), (5,), (4, 7), (7,), (7,), (4, 7), (5,))",BB,256.916,6279.3084,6536.2244,3458.51654593475,5619.4380248502,0.174475,888.5482369153722,35286.184392721276,0.6034246743519655,36175.085662803685,0.027643334678492004,
YOLOv3,BBGLLBBNLLLLBNNNNLGLBNNBNBBBGBGBNLLNGLLNNGBLLGNBNBGNGNLBGLLNNNNGLNGBGBBLLGN,"((7,), (7,), (4, 7), (5,), (5,), (7,), (7,), (7,), (5,), (5,), (5,), (5,), (7,), (7,), (7,), (7,), (7,), (5,), (4, 7), (5,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4, 7), (7,), (4, 7), (7,), (7,), (5,), (5,), (7,), (4, 7), (5,), (5,), (7,), (7,), (4, 7), (7,), (5,), (5,), (4, 7), (7,), (7,), (7,), (7,), (4, 7), (7,), (4, 7), (7,), (5,), (7,), (4, 7), (5,), (5,), (7,), (7,), (7,), (7,), (4, 7), (5,), (7,), (4, 7), (7,), (4, 7), (7,), (7,), (5,), (5,), (4, 7), (7,))",BB,103.646,5265.4243,5369.0703,5152.2505255561,5843.42058593997,0.100275,534.0101579717875,30768.088748328555,0.516641921450138,,,
YOLOv3,NBGGGLLGNGNNBLGNGNGLBLBGBGGLLNBNBBNNNNLGBLLGBNLLGGGLNNBGBGLBLLLGLNLBNNNLLBL,"((7,), (7,), (4, 7), (4, 7), (4, 7), (5,), (5,), (4, 7), (7,), (4, 7), (7,), (7,), (7,), (5,), (4, 7), (7,), (4, 7), (7,), (4, 7), (5,), (7,), (5,), (7,), (4, 7), (7,), (4, 7), (4, 7), (5,), (5,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (5,), (4, 7), (7,), (5,), (5,), (4, 7), (7,), (7,), (5,), (5,), (4, 7), (4, 7), (4, 7), (5,), (7,), (7,), (7,), (4, 7), (7,), (4, 7), (5,), (7,), (5,), (5,), (5,), (4, 7), (5,), (7,), (5,), (7,), (7,), (7,), (7,), (5,), (5,), (7,), (5,))",BB,103.572,7292.7663,7396.3383,5191.826040914734,5627.789786405629,0.198683,537.7278067096208,41042.155697783164,1.0315275732870621,,,
YOLOv3,GLBLGBGNBNLGLNNLBNGNNNBNNLNBBLLNGGGGNBGBLNBBNBBBLBGNNGNGGGBNBNGBLNNNGLLNNBB,"((4, 7), (5,), (7,), (5,), (4, 7), (7,), (4, 7), (7,), (7,), (7,), (5,), (4, 7), (5,), (7,), (7,), (5,), (7,), (7,), (4, 7), (7,), (7,), (7,), (7,), (7,), (7,), (5,), (7,), (7,), (7,), (5,), (5,), (7,), (4, 7), (4, 7), (4, 7), (4, 7), (7,), (7,), (4, 7), (7,), (5,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (5,), (7,), (4, 7), (7,), (7,), (4, 7), (7,), (4, 7), (4, 7), (4, 7), (7,), (7,), (7,), (7,), (4, 7), (7,), (5,), (7,), (7,), (7,), (4, 7), (5,), (5,), (7,), (7,), (7,), (7,))",BB,,,,,,,,,,,,
YOLOv3,BBBBBNNGBBBGLLGLBBLNGNBNNNNNGBBBBBGLNGNLLGGBLGBNNLLLGGNLLNGBLBNGBLLGLBBGNGL,"((7,), (7,), (7,), (7,), (7,), (7,), (7,), (4, 7), (7,), (7,), (7,), (4, 7), (5,), (5,), (4, 7), (5,), (7,), (7,), (5,), (7,), (4, 7), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4, 7), (7,), (7,), (7,), (7,), (7,), (4, 7), (5,), (7,), (4, 7), (7,), (5,), (5,), (4, 7), (4, 7), (7,), (5,), (4, 7), (7,), (7,), (7,), (5,), (5,), (5,), (4, 7), (4, 7), (7,), (5,), (5,), (7,), (4, 7), (7,), (5,), (7,), (7,), (4, 7), (7,), (5,), (5,), (4, 7), (5,), (7,), (7,), (4, 7), (7,), (4, 7), (5,))",BB,104.053,5477.009799999999,5581.062799999999,5216.463907285886,6003.14852799268,0.188709,542.7887189448184,32879.303318671475,0.9843936874800122,,,
YOLOv3,GBLBBLNNBLBGLBBBGBGBNBBBGBBLLLNBBNLBBBGBGGBBGNLGBGLGLBGNGLNBGBBLLBLLGBNNBBN,"((4, 7), (7,), (5,), (7,), (7,), (5,), (7,), (7,), (7,), (5,), (7,), (4, 7), (5,), (7,), (7,), (7,), (4, 7), (7,), (4, 7), (7,), (7,), (7,), (7,), (7,), (4, 7), (7,), (7,), (5,), (5,), (5,), (7,), (7,), (7,), (7,), (5,), (7,), (7,), (7,), (4, 7), (7,), (4, 7), (4, 7), (7,), (7,), (4, 7), (7,), (5,), (4, 7), (7,), (4, 7), (5,), (4, 7), (5,), (7,), (4, 7), (7,), (4, 7), (5,), (7,), (7,), (4, 7), (7,), (7,), (5,), (5,), (7,), (5,), (5,), (4, 7), (7,), (7,), (7,), (7,), (7,), (7,))",BB,89.4672,5753.6076,5843.0748,5249.063974394488,6205.2085465235095,0.139067,469.61905640994655,35702.335052862625,0.7299715797271182,,,
YOLOv3,LGGNGGGLBNLBNGGLNNGBLBGGLBLLGNGNNLLNNNNNLBGNNNNBBBBNGLBGGNNGGNGGGGGLNBLBNBG,"((5,), (4, 7), (4, 7), (7,), (4, 7), (4, 7), (4, 7), (5,), (7,), (7,), (5,), (7,), (7,), (4, 7), (4, 7), (5,), (7,), (7,), (4, 7), (7,), (5,), (7,), (4, 7), (4, 7), (5,), (7,), (5,), (5,), (4, 7), (7,), (4, 7), (7,), (7,), (5,), (5,), (7,), (7,), (7,), (7,), (7,), (5,), (7,), (4, 7), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4, 7), (5,), (7,), (4, 7), (4, 7), (7,), (7,), (4, 7), (4, 7), (7,), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (5,), (7,), (7,), (5,), (7,), (7,), (7,), (4, 7))",BB,258.629,5766.5363000000025,6025.165300000002,3587.062761527427,5586.631989312902,1.61513,927.718454951077,32215.516161114076,5.793572678025793,,,
YOLOv3,NBGGBLBNGNLLBBLNBGBNBBGNGNGLGBNNNLLLBGNGNGNLGLGLBBGBLNNLNLLLBNGLNGLBGNGBBGG,"((7,), (7,), (4, 7), (4, 7), (7,), (5,), (7,), (7,), (4, 7), (7,), (5,), (5,), (7,), (7,), (5,), (7,), (7,), (4, 7), (7,), (7,), (7,), (7,), (4, 7), (7,), (4, 7), (7,), (4, 7), (5,), (4, 7), (7,), (7,), (7,), (7,), (5,), (5,), (5,), (7,), (4, 7), (7,), (4, 7), (7,), (4, 7), (7,), (5,), (4, 7), (5,), (4, 7), (5,), (7,), (7,), (4, 7), (7,), (5,), (7,), (7,), (5,), (7,), (5,), (5,), (5,), (7,), (7,), (4, 7), (5,), (7,), (4, 7), (5,), (7,), (4, 7), (7,), (4, 7), (7,), (7,), (4, 7), (4, 7))",BB,,,,,,,,,,,,
YOLOv3,NGNLLNBBGLLBLGGGBNGGLBNNLNNBBLGLGGGBLLLBNGBGNNBNBLNBLGGBBNGBBNGBLLGBBGBLBBB,"((7,), (4, 7), (7,), (5,), (5,), (7,), (7,), (7,), (4, 7), (5,), (5,), (7,), (5,), (4, 7), (4, 7), (4, 7), (7,), (7,), (4, 7), (4, 7), (5,), (7,), (7,), (7,), (5,), (7,), (7,), (7,), (7,), (5,), (4, 7), (5,), (4, 7), (4, 7), (4, 7), (7,), (5,), (5,), (5,), (7,), (7,), (4, 7), (7,), (4, 7), (7,), (7,), (7,), (7,), (7,), (5,), (7,), (7,), (5,), (4, 7), (4, 7), (7,), (7,), (7,), (4, 7), (7,), (7,), (7,), (4, 7), (7,), (5,), (5,), (4, 7), (7,), (7,), (4, 7), (7,), (5,), (7,), (7,), (7,))",BB,101.956,6818.076600000001,6920.032600000001,5235.762149687331,5641.271064487736,0.11095,533.8173657335216,38462.61823904093,0.5809078105078094,,,
YOLOv3,BLNBLNGGNNGLGNGNGLBNGBBLLLNNLBNNGBGNNBBGNBNBGGLBBLLGNLGLNBBBGGGBLGNNGBGLGGB,"((7,), (5,), (7,), (7,), (5,), (7,), (4, 7), (4, 7), (7,), (7,), (4, 7), (5,), (4, 7), (7,), (4, 7), (7,), (4, 7), (5,), (7,), (7,), (4, 7), (7,), (7,), (5,), (5,), (5,), (7,), (7,), (5,), (7,), (7,), (7,), (4, 7), (7,), (4, 7), (7,), (7,), (7,), (7,), (4, 7), (7,), (7,), (7,), (7,), (4, 7), (4, 7), (5,), (7,), (7,), (5,), (5,), (4, 7), (7,), (5,), (4, 7), (5,), (7,), (7,), (7,), (7,), (4, 7), (4, 7), (4, 7), (7,), (5,), (4, 7), (7,), (7,), (4, 7), (7,), (4, 7), (5,), (4, 7), (4, 7), (7,))",BB,,,,,,,,,,,,
YOLOv3,NNGLNNNBGLLLGBLNGGBLLGBBNBNLBLLBGNLGNBNBLLLBLLBNBNLGBBLNNGGLBGGGNBGBNBGLGLG,"((7,), (7,), (4, 7), (5,), (7,), (7,), (7,), (7,), (4, 7), (5,), (5,), (5,), (4, 7), (7,), (5,), (7,), (4, 7), (4, 7), (7,), (5,), (5,), (4, 7), (7,), (7,), (7,), (7,), (7,), (5,), (7,), (5,), (5,), (7,), (4, 7), (7,), (5,), (4, 7), (7,), (7,), (7,), (7,), (5,), (5,), (5,), (7,), (5,), (5,), (7,), (7,), (7,), (7,), (5,), (4, 7), (7,), (7,), (5,), (7,), (7,), (4, 7), (4, 7), (5,), (7,), (4, 7), (4, 7), (4, 7), (7,), (7,), (4, 7), (7,), (7,), (7,), (4, 7), (5,), (4, 7), (5,), (4, 7))",BB,102.549,5691.930299999997,5794.479299999997,5296.439703550559,5685.539270068339,1.53735,543.1445951594063,32361.693243141846,8.142481578253452,,,
YOLOv3,LGNNNLLNLLBBLNLGBLBGBNGBNBNNBGNLBNNNLGGGLNLNGLNGGBLLGGGLBLGBGGNBNLBGGBLBLLB,"((5,), (4, 7), (7,), (7,), (7,), (5,), (5,), (7,), (5,), (5,), (7,), (7,), (5,), (7,), (5,), (4, 7), (7,), (5,), (7,), (4, 7), (7,), (7,), (4, 7), (7,), (7,), (7,), (7,), (7,), (7,), (4, 7), (7,), (5,), (7,), (7,), (7,), (7,), (5,), (4, 7), (4, 7), (4, 7), (5,), (7,), (5,), (7,), (4, 7), (5,), (7,), (4, 7), (4, 7), (7,), (5,), (5,), (4, 7), (4, 7), (4, 7), (5,), (7,), (5,), (4, 7), (7,), (4, 7), (4, 7), (7,), (7,), (7,), (5,), (7,), (4, 7), (4, 7), (7,), (5,), (7,), (5,), (5,), (7,))",BB,258.172,6351.805599999998,6609.977599999997,3622.9405483685136,5559.643957837631,0.286504,935.341807253396,35313.77762539922,1.0379869588697725,,,
YOLOv3,LLNNNBLBNBLNNBBGGBNGBNNGGGLLBLGLNGBLNNGNNBGLGGLNBLLLNGNLBLLLBGBBLNNGBGGNLNN,"((5,), (5,), (7,), (7,), (7,), (7,), (5,), (7,), (7,), (7,), (5,), (7,), (7,), (7,), (7,), (4, 7), (4, 7), (7,), (7,), (4, 7), (7,), (7,), (7,), (4, 7), (4, 7), (4, 7), (5,), (5,), (7,), (5,), (4, 7), (5,), (7,), (4, 7), (7,), (5,), (7,), (7,), (4, 7), (7,), (7,), (7,), (4, 7), (5,), (4, 7), (4, 7), (5,), (7,), (7,), (5,), (5,), (5,), (7,), (4, 7), (7,), (5,), (7,), (5,), (5,), (5,), (7,), (4, 7), (7,), (7,), (5,), (7,), (7,), (4, 7), (7,), (4, 7), (4, 7), (7,), (5,), (7,), (7,))",BB,258.119,6023.8712,6281.990199999999,3540.12963161638,5469.9958494207485,0.340083,913.7747203831884,32950.550461445186,1.2039379055089934,,,
YOLOv3,NNNGBNGGBGBGNLBNNNBNBBLGBNBBGNGLNNBNBBNGLGBBBGBGLNLBNGLGNLLLBBGLBNNGGGLBGBN,"((7,), (7,), (7,), (4, 7), (7,), (7,), (4, 7), (4, 7), (7,), (4, 7), (7,), (4, 7), (7,), (5,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (5,), (4, 7), (7,), (7,), (7,), (7,), (4, 7), (7,), (4, 7), (5,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4, 7), (5,), (4, 7), (7,), (7,), (7,), (4, 7), (7,), (4, 7), (5,), (7,), (5,), (7,), (7,), (4, 7), (5,), (4, 7), (7,), (5,), (5,), (5,), (7,), (7,), (4, 7), (5,), (7,), (7,), (7,), (4, 7), (4, 7), (4, 7), (5,), (7,), (4, 7), (7,), (7,))",BB,,,,,,,,,,,,
YOLOv3,GBNGGNGGBGNNBBNGBGNNBNBBBGNBNLGGLBLGBLLNLNGGBBNGGGGNNLNBGGBNBBLBGBNLLBGBNLB,"((4, 7), (7,), (7,), (4, 7), (4, 7), (7,), (4, 7), (4, 7), (7,), (4, 7), (7,), (7,), (7,), (7,), (7,), (4, 7), (7,), (4, 7), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4, 7), (7,), (7,), (7,), (5,), (4, 7), (4, 7), (5,), (7,), (5,), (4, 7), (7,), (5,), (5,), (7,), (5,), (7,), (4, 7), (4, 7), (7,), (7,), (7,), (4, 7), (4, 7), (4, 7), (4, 7), (7,), (7,), (5,), (7,), (7,), (4, 7), (4, 7), (7,), (7,), (7,), (7,), (5,), (7,), (4, 7), (7,), (7,), (5,), (5,), (7,), (4, 7), (7,), (7,), (5,), (7,))",BB,89.4117,7079.523599999999,7168.935299999998,5133.577983904541,5753.398851928568,0.110221,459.0019346234776,40731.322952441195,0.5658280989639424,,,
YOLOv3,NLGNLGBBNBGLBGLGLGGLGLLBGGGBBLGBLNNGNGBLLLBLLGNNNGLLNLBGGGLLLGGNGGGNLLNLBBB,"((7,), (5,), (4, 7), (7,), (5,), (4, 7), (7,), (7,), (7,), (7,), (4, 7), (5,), (7,), (4, 7), (5,), (4, 7), (5,), (4, 7), (4, 7), (5,), (4, 7), (5,), (5,), (7,), (4, 7), (4, 7), (4, 7), (7,), (7,), (5,), (4, 7), (7,), (5,), (7,), (7,), (4, 7), (7,), (4, 7), (7,), (5,), (5,), (5,), (7,), (5,), (5,), (4, 7), (7,), (7,), (7,), (4, 7), (5,), (5,), (7,), (5,), (7,), (4, 7), (4, 7), (4, 7), (5,), (5,), (5,), (4, 7), (4, 7), (7,), (4, 7), (4, 7), (4, 7), (7,), (5,), (5,), (7,), (5,), (7,), (7,), (7,))",BB,101.994,6818.116300000002,6920.110300000002,5249.4200700387455,5615.104545305046,0.113575,535.4093506235319,38284.43582654843,0.5962028844546505,,,
YOLOv3,NLNNGBNBGNNNGNGLGBBBBBBNBBGGGBLNGBLBBBBNGBGNNNBLLNNGGNBBLGBLNLNBBBNNLNBNLBG,"((7,), (5,), (7,), (7,), (4, 7), (7,), (7,), (7,), (4, 7), (7,), (7,), (7,), (4, 7), (7,), (4, 7), (5,), (4, 7), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (4, 7), (4, 7), (4, 7), (7,), (5,), (7,), (4, 7), (7,), (5,), (7,), (7,), (7,), (7,), (7,), (4, 7), (7,), (4, 7), (7,), (7,), (7,), (7,), (5,), (5,), (7,), (7,), (4, 7), (4, 7), (7,), (7,), (7,), (5,), (4, 7), (7,), (5,), (7,), (5,), (7,), (7,), (7,), (7,), (7,), (7,), (5,), (7,), (7,), (7,), (5,), (7,), (4, 7))",BB,130.033,7119.1483,7249.1813,5109.122285561499,5495.38703891829,1.54869,664.3544981584183,39122.47529595718,7.912446592426237,,,
YOLOv3,NGGBLBBBGNBNLLNGGNGLNGBLGBGLNBBLLLGBBLNNBGBNNGNLGLLBBGNGGNNBLLGBGBLLLLNGNBL,"((7,), (4, 7), (4, 7), (7,), (5,), (7,), (7,), (7,), (4, 7), (7,), (7,), (7,), (5,), (5,), (7,), (4, 7), (4, 7), (7,), (4, 7), (5,), (7,), (4, 7), (7,), (5,), (4, 7), (7,), (4, 7), (5,), (7,), (7,), (7,), (5,), (5,), (5,), (4, 7), (7,), (7,), (5,), (7,), (7,), (7,), (4, 7), (7,), (7,), (7,), (4, 7), (7,), (5,), (4, 7), (5,), (5,), (7,), (7,), (4, 7), (7,), (4, 7), (4, 7), (7,), (7,), (7,), (5,), (5,), (4, 7), (7,), (4, 7), (7,), (5,), (5,), (5,), (5,), (7,), (4, 7), (7,), (7,), (5,))",BB,,,,,,,,,,,,
YOLOv3,NLNBNNBGBGBGBNBLGNBGGGLLBNNNBNLBLBLGNBGLNLGBNBBNGNBNBNBNNLBLNLLLGNBNBBLNLBL,"((7,), (5,), (7,), (7,), (7,), (7,), (7,), (4, 7), (7,), (4, 7), (7,), (4, 7), (7,), (7,), (7,), (5,), (4, 7), (7,), (7,), (4, 7), (4, 7), (4, 7), (5,), (5,), (7,), (7,), (7,), (7,), (7,), (7,), (5,), (7,), (5,), (7,), (5,), (4, 7), (7,), (7,), (4, 7), (5,), (7,), (5,), (4, 7), (7,), (7,), (7,), (7,), (7,), (4, 7), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (5,), (7,), (5,), (7,), (5,), (5,), (5,), (4, 7), (7,), (7,), (7,), (7,), (7,), (5,), (7,), (5,), (7,), (5,))",BB,103.836,4381.270440000001,4485.106440000001,5178.052853960387,5845.515199744217,0.207229,537.6682961438307,25610.78295121004,1.073042714873357,,,
YOLOv3,NGBBNGBBBNNBLBNNBBBGLGBGLBLLBGNLBLNLBGGBLLNBNBBNNLNGNNLLNNBGNLNGBLLGBBLGLGG,"((7,), (4, 7), (7,), (7,), (7,), (4, 7), (7,), (7,), (7,), (7,), (7,), (7,), (5,), (7,), (7,), (7,), (7,), (7,), (7,), (4, 7), (5,), (4, 7), (7,), (4, 7), (5,), (7,), (5,), (5,), (7,), (4, 7), (7,), (5,), (7,), (5,), (7,), (5,), (7,), (4, 7), (4, 7), (7,), (5,), (5,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (5,), (7,), (4, 7), (7,), (7,), (5,), (5,), (7,), (7,), (7,), (4, 7), (7,), (5,), (7,), (4, 7), (7,), (5,), (5,), (4, 7), (7,), (7,), (5,), (4, 7), (5,), (4, 7), (4, 7))",BB,102.45,6107.363800000001,6209.813800000001,5380.9006247447705,5821.711456185896,1.65334,551.2732690051017,35555.309801555035,8.896458238915518,,,
