Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power
MobileV1,B,0,-1,0,in,62.0563,3392.490257970042
MobileV1,B,0,-1,0,task,15.1248,3973.5563121089435
MobileV1,B,0,-1,1,task,36.79,3767.3771860618017
MobileV1,B,0,-1,2,task,25.1623,3660.091820803895
MobileV1,B,0,-1,3,task,41.0396,3631.7846717150105
MobileV1,B,0,-1,4,task,19.1089,3520.176845590307
MobileV1,B,0,-1,5,task,34.2616,3571.24788255223
MobileV1,B,0,-1,6,task,14.5812,3547.846153846154
MobileV1,B,0,-1,7,task,26.7395,3696.4414543145185
MobileV1,B,0,-1,8,task,24.7156,3698.409806567702
MobileV1,B,0,-1,9,task,27.7165,3676.3037076971355
MobileV1,B,0,-1,10,task,26.7191,3680.3948871905527
MobileV1,B,0,-1,11,task,24.8705,3684.7169961101854
MobileV1,B,0,-1,12,task,16.8678,3449.864760993155
MobileV1,B,0,-1,13,task,32.3102,3494.9981649974507
MobileV1,B,1,-1,0,in,41.9038,3308.32967032967
MobileV1,B,1,-1,0,task,9.7539,3925.512820512821
MobileV1,B,1,-1,1,task,23.3695,3980.3459276018107
MobileV1,B,1,-1,2,task,18.5889,3825.0601577909274
MobileV1,B,1,-1,3,task,29.5018,3828.6326077431345
MobileV1,B,1,-1,4,task,13.2822,3672.65811965812
MobileV1,B,1,-1,5,task,20.767,3795.7106227106224
MobileV1,B,1,-1,6,task,9.9584,3715.247252747252
MobileV1,B,1,-1,7,task,16.9296,3941.7227003765465
MobileV1,B,1,-1,8,task,16.9751,3927.0979020979016
MobileV1,B,1,-1,9,task,16.8455,3939.959207459208
MobileV1,B,1,-1,10,task,17.1549,3939.8284407899782
MobileV1,B,1,-1,11,task,17.1514,3931.215707369554
MobileV1,B,1,-1,12,task,11.9466,3571.1730769230776
MobileV1,B,1,-1,13,task,23.9133,3607.965832914362
MobileV1,B,2,-1,0,in,30.8805,3420.991045991046
MobileV1,B,2,-1,0,task,7.4533,4238.481262327416
MobileV1,B,2,-1,1,task,17.7957,4284.743879800441
MobileV1,B,2,-1,2,task,13.4636,4116.48717948718
MobileV1,B,2,-1,3,task,22.3444,4085.5993051066584
MobileV1,B,2,-1,4,task,9.9775,3930.975274725274
MobileV1,B,2,-1,5,task,15.9626,4060.716783216783
MobileV1,B,2,-1,6,task,7.6412,3899.487179487179
MobileV1,B,2,-1,7,task,12.5717,4241.613247863248
MobileV1,B,2,-1,8,task,12.4641,4244.361111111111
MobileV1,B,2,-1,9,task,12.5906,4222.815170940171
MobileV1,B,2,-1,10,task,14.6569,4221.902777777777
MobileV1,B,2,-1,11,task,14.9455,4189.053981106613
MobileV1,B,2,-1,12,task,9.2074,3755.8791208791204
MobileV1,B,2,-1,13,task,17.9274,3846.633382642998
MobileV1,B,3,-1,0,in,25.0191,3533.9616180920525
MobileV1,B,3,-1,0,task,6.3344,4383.008547008547
MobileV1,B,3,-1,1,task,15.8436,4520.802447552447
MobileV1,B,3,-1,2,task,11.4213,4295.149572649572
MobileV1,B,3,-1,3,task,19.3098,4371.339250493096
MobileV1,B,3,-1,4,task,8.5869,4065.7264957264956
MobileV1,B,3,-1,5,task,13.0515,4265.31623931624
MobileV1,B,3,-1,6,task,6.2848,3981.923076923077
MobileV1,B,3,-1,7,task,10.1276,4444.793956043956
MobileV1,B,3,-1,8,task,10.2013,4453.09065934066
MobileV1,B,3,-1,9,task,10.2728,4404.752747252746
MobileV1,B,3,-1,10,task,11.1471,4419.2170329670325
MobileV1,B,3,-1,11,task,10.4585,4414.065934065934
MobileV1,B,3,-1,12,task,7.6886,3902.487179487179
MobileV1,B,3,-1,13,task,15.2116,4028.601398601398
MobileV1,B,4,-1,0,in,20.951,3718.1561085972853
MobileV1,B,4,-1,0,task,6.0044,4731.053113553114
MobileV1,B,4,-1,1,task,13.6875,4847.653846153846
MobileV1,B,4,-1,2,task,11.0635,4549.2170329670325
MobileV1,B,4,-1,3,task,15.9878,4647.890442890444
MobileV1,B,4,-1,4,task,7.1413,4276.128205128205
MobileV1,B,4,-1,5,task,11.3703,4619.326923076923
MobileV1,B,4,-1,6,task,5.4179,4183.115384615385
MobileV1,B,4,-1,7,task,8.761,4783.351648351649
MobileV1,B,4,-1,8,task,8.594,4784.265734265734
MobileV1,B,4,-1,9,task,9.1745,4780.659895659896
MobileV1,B,4,-1,10,task,8.6864,4805.695970695971
MobileV1,B,4,-1,11,task,8.7824,4743.809523809524
MobileV1,B,4,-1,12,task,6.7292,4067.846153846154
MobileV1,B,4,-1,13,task,14.4946,4305.726495726495
MobileV1,B,5,-1,0,in,17.8001,3900.0391363022945
MobileV1,B,5,-1,0,task,4.9901,5102.307692307692
MobileV1,B,5,-1,1,task,11.7959,5433.747863247863
MobileV1,B,5,-1,2,task,8.9407,4915.58608058608
MobileV1,B,5,-1,3,task,14.019,5079.6705516705515
MobileV1,B,5,-1,4,task,7.3644,4511.30463980464
MobileV1,B,5,-1,5,task,10.2503,4962.641941391941
MobileV1,B,5,-1,6,task,4.7876,4537.179487179487
MobileV1,B,5,-1,7,task,7.6761,5157.512820512819
MobileV1,B,5,-1,8,task,7.7881,5344.333333333334
MobileV1,B,5,-1,9,task,7.7243,5376.2307692307695
MobileV1,B,5,-1,10,task,7.6927,5194.794871794873
MobileV1,B,5,-1,11,task,7.7506,5332.948717948718
MobileV1,B,5,-1,12,task,5.9386,4247.384615384615
MobileV1,B,5,-1,13,task,11.8701,4647.136752136752
MobileV1,B,6,-1,0,in,15.6994,4077.0512820512818
MobileV1,B,6,-1,0,task,4.7764,5658.499999999999
MobileV1,B,6,-1,1,task,10.8849,5811.994928148774
MobileV1,B,6,-1,2,task,8.5626,5296.833333333334
MobileV1,B,6,-1,3,task,13.3748,5553.869000657462
MobileV1,B,6,-1,4,task,6.0992,5099.578754578755
MobileV1,B,6,-1,5,task,9.2029,5440.421245421245
MobileV1,B,6,-1,6,task,4.2609,4669.74358974359
MobileV1,B,6,-1,7,task,7.5711,5985.288461538462
MobileV1,B,6,-1,8,task,7.1505,5948.615384615385
MobileV1,B,6,-1,9,task,7.0908,5986.884615384615
MobileV1,B,6,-1,10,task,7.0585,5978.7692307692305
MobileV1,B,6,-1,11,task,6.972,5963.961538461538
MobileV1,B,6,-1,12,task,5.6659,4646.25641025641
MobileV1,B,6,-1,13,task,11.1782,5081.263736263737
MobileV1,B,7,-1,0,in,14.0323,4500.175824175823
MobileV1,B,7,-1,0,task,4.7294,6349.294871794871
MobileV1,B,7,-1,1,task,10.9449,6631.743672993673
MobileV1,B,7,-1,2,task,7.8332,6009.7692307692305
MobileV1,B,7,-1,3,task,12.8246,6301.423992673992
MobileV1,B,7,-1,4,task,5.3236,5428.910256410256
MobileV1,B,7,-1,5,task,8.5641,6280.8974358974365
MobileV1,B,7,-1,6,task,4.0336,4880.641025641025
MobileV1,B,7,-1,7,task,6.3597,6794.2307692307695
MobileV1,B,7,-1,8,task,6.3656,6764.115384615385
MobileV1,B,7,-1,9,task,6.3799,6842.884615384615
MobileV1,B,7,-1,10,task,6.3114,6891.653846153846
MobileV1,B,7,-1,11,task,6.3452,6734.423076923077
MobileV1,B,7,-1,12,task,5.1379,5031.282051282052
MobileV1,B,7,-1,13,task,10.5708,5757.664835164835
MobileV1,B,0,-1,13,out,1.08092,
MobileV1,B,1,-1,13,out,0.488338,
MobileV1,B,2,-1,13,out,0.369454,
MobileV1,B,3,-1,13,out,0.433009,
MobileV1,B,4,-1,13,out,0.267896,
MobileV1,B,5,-1,13,out,0.255908,
MobileV1,B,6,-1,13,out,0.216359,
MobileV1,B,7,-1,13,out,0.196963,
MobileV1,G,0,0,0,in,54.0654,3417.575219569206
MobileV1,G,0,0,0,task,13.2762,3792.410256410257
MobileV1,G,0,0,1,task,35.6265,3598.278206693591
MobileV1,G,0,0,2,task,28.7613,3567.8729458946855
MobileV1,G,0,0,3,task,45.3482,3506.739438692238
MobileV1,G,0,0,4,task,21.6152,3529.3055555555557
MobileV1,G,0,0,5,task,34.9698,3523.5564666103132
MobileV1,G,0,0,6,task,18.4877,3623.7653212172445
MobileV1,G,0,0,7,task,32.3019,3676.346928031711
MobileV1,G,0,0,8,task,32.1199,3674.0320569124915
MobileV1,G,0,0,9,task,32.1427,3681.4408015494973
MobileV1,G,0,0,10,task,32.2545,3677.5862442710268
MobileV1,G,0,0,11,task,32.2848,3670.4744912897086
MobileV1,G,0,0,12,task,18.6042,3799.597069597069
MobileV1,G,0,0,13,task,52.3863,3663.0372812862697
MobileV1,G,0,1,0,in,36.8235,3338.5398314311974
MobileV1,G,0,1,0,task,12.7634,3674.8632478632476
MobileV1,G,0,1,1,task,35.3815,3573.3602564102566
MobileV1,G,0,1,2,task,28.5447,3558.923076923077
MobileV1,G,0,1,3,task,45.1496,3493.6166253101737
MobileV1,G,0,1,4,task,21.4252,3542.227106227106
MobileV1,G,0,1,5,task,34.8793,3511.7153846153847
MobileV1,G,0,1,6,task,18.237,3617.628205128205
MobileV1,G,0,1,7,task,32.0722,3693.291273943448
MobileV1,G,0,1,8,task,31.9348,3686.5734265734272
MobileV1,G,0,1,9,task,32.0058,3665.3025235633936
MobileV1,G,0,1,10,task,31.8812,3673.9768926725446
MobileV1,G,0,1,11,task,32.0073,3675.418060200669
MobileV1,G,0,1,12,task,18.3209,3801.5631163708094
MobileV1,G,0,1,13,task,51.8695,3655.2881562881566
