graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime,avg_power,latency
YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,BB,"(('max',),)",250.791,4067.989,0.453775,4318.78,3614.2341543514,5799.86729108686,906.417397803941,23593.7963416011,1.6400491033908,24501.8537885085,0.040813238403578,4318.78,5.67332760374654,4.31878
YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,BB,"(('min',),)",871.925,11386.775,1.60991,12258.7,3008.62946276829,3642.74630846371,2623.29924432424,41479.1325965569,4.8436226584053,44107.2754635396,0.022671996614858,12258.7,3.59803857371007,12.2587
YOLOv3,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,BB,"(('max',),)",99.4843,4508.1057,0.325792,4607.59,5226.97486258356,7088.06729259235,520.001935321722,31953.7565637191,1.70290659443082,32475.4614056353,0.030792480128596,4607.59,7.0482532963296,4.60759
YOLOv3,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,BB,"(('min',),)",439.199,16000.601,1.61388,16439.8,3320.29039981297,3702.9981772699,1458.26822330746,59250.1963382229,5.35855027045016,60713.8231118008,0.01647071373118,16439.8,3.69309986203,16.4398
YOLOv3,GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,BB,"(('max',),)",86.8869,5714.1731,2.92527,5801.06,5361.67793138761,6242.66141156665,465.859574256682,35671.6479103822,15.6843556023502,36153.1918402412,0.027660075061116,5801.06,6.23216995518771,5.80106
YOLOv3,GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,BB,"(('min',),)",379.92,19935.28,7.97323,20315.2,3338.81294475343,3815.02672635983,1268.48181397073,76053.6259974666,26.6211235354964,77348.7289349728,0.01292846067116,20315.2,3.80743132900354,20.3152
YOLOv3,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,BB,"(('max',),)",99.5017,335.8723,0.253371,435.374,5063.92568034821,4349.58346950861,503.869213868303,1460.90460394584,1.28305191355551,1966.05686972769,0.508632285971719,435.374,4.51578842495806,0.435374
YOLOv3,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,BB,"(('min',),)",440.103,499.117,1.26732,939.22,3258.06350381728,3660.01204653575,1433.8835222205,1826.77423263078,4.12900903965771,3264.78676389094,0.306298717901016,939.22,3.47606180010108,0.93922
YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,BB,"((0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,))",890.422,11415.278,1.03804,12305.7,2969.63150898754,3533.91521804561,2644.2252274957,40340.6246424213,3.08259629158943,42987.9324662086,0.023262342304694,12305.7,3.493334996482,12.3057
YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,BB,"((1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,))",604.064,7984.916,0.7651,8588.98,3000.76495899502,3788.18870576183,1812.65408419037,30248.368607657,2.29588527012709,32063.3185771175,0.031188287562775,8588.98,3.733076404546,8.58898
YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,BB,"((2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,))",443.617,6087.493,0.569654,6531.11,3050.93312515287,4123.85095077558,1353.44580018094,25103.9137958897,1.73797625847583,26459.0975723291,0.03779418391978,6531.11,4.05124053527335,6.53111
YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,BB,"((3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,))",359.315,5135.695,0.496767,5495.01,3129.57225936938,4507.78668490398,1124.50225637531,23150.6175387279,1.55466822257015,24276.6744633258,0.04119180333001,5495.01,4.41794909623928,5.49501
