Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power
Alex,B,0,-1,0,in,62.9315,3253.7693470150334
Alex,B,0,-1,0,task,85.6725,3589.9607072142853
Alex,B,0,-1,1,task,122.578,3601.0175837639595
Alex,B,0,-1,2,task,40.9443,3515.4679633183528
Alex,B,0,-1,3,task,31.8557,3541.927130840174
Alex,B,0,-1,4,task,22.5087,3556.076923076923
Alex,B,0,-1,5,task,82.8133,3761.390462401097
Alex,B,0,-1,6,task,36.2065,3741.9310896073753
Alex,B,0,-1,7,task,9.6166,3659.4788672865593
Alex,B,1,-1,0,in,42.3076,3294.4608427747958
Alex,B,1,-1,0,task,54.7826,3816.094469551519
Alex,B,1,-1,1,task,84.2039,3841.2131906667264
Alex,B,1,-1,2,task,32.3597,3639.8510185466703
Alex,B,1,-1,3,task,25.2407,3677.681109739933
Alex,B,1,-1,4,task,17.8613,3689.438228438229
Alex,B,1,-1,5,task,56.6739,4094.773175542407
Alex,B,1,-1,6,task,24.6315,4023.6249371543486
Alex,B,1,-1,7,task,6.5049,3728.346153846154
Alex,B,2,-1,0,in,31.1415,3423.683248424628
Alex,B,2,-1,0,task,43.1414,4088.9216632174193
Alex,B,2,-1,1,task,65.2036,4181.092577319321
Alex,B,2,-1,2,task,27.5435,3790.1315789473683
Alex,B,2,-1,3,task,20.3538,3880.3777472527468
Alex,B,2,-1,4,task,14.005,3866.0015540015543
Alex,B,2,-1,5,task,42.7137,4454.323607427055
Alex,B,2,-1,6,task,18.674,4354.852071005917
Alex,B,2,-1,7,task,4.9344,3834.5512820512818
Alex,B,3,-1,0,in,25.2597,3538.7845849802366
Alex,B,3,-1,0,task,33.9824,4383.376532887402
Alex,B,3,-1,1,task,52.5344,4486.880077964802
Alex,B,3,-1,2,task,25.8652,3941.980825547002
Alex,B,3,-1,3,task,17.5815,4025.7445759368834
Alex,B,3,-1,4,task,12.3599,4010.940170940171
Alex,B,3,-1,5,task,36.3215,4735.13372781065
Alex,B,3,-1,6,task,16.0054,4618.933566433568
Alex,B,3,-1,7,task,4.2045,3943.7820512820513
Alex,B,4,-1,0,in,21.1856,3714.7272196327926
Alex,B,4,-1,0,task,29.4333,4753.693753614806
Alex,B,4,-1,1,task,45.5265,4914.7703477001305
Alex,B,4,-1,2,task,21.6708,4251.85057997558
Alex,B,4,-1,3,task,16.0374,4272.019813519813
Alex,B,4,-1,4,task,10.8189,4257.252747252747
Alex,B,4,-1,5,task,35.8735,5024.290350681154
Alex,B,4,-1,6,task,14.9976,4866.825174825175
Alex,B,4,-1,7,task,4.0905,4189.1025641025635
Alex,B,5,-1,0,in,17.9961,3947.0239890828134
Alex,B,5,-1,0,task,28.5957,5244.277432956039
Alex,B,5,-1,1,task,38.7375,5464.628402366864
Alex,B,5,-1,2,task,19.9924,4541.944209636517
Alex,B,5,-1,3,task,14.6762,4559.863247863248
Alex,B,5,-1,4,task,10.0045,4497.875457875458
Alex,B,5,-1,5,task,34.9109,5315.878452651029
Alex,B,5,-1,6,task,14.9072,5169.846153846154
Alex,B,5,-1,7,task,4.1118,4411.538461538462
Alex,B,6,-1,0,in,15.8499,4154.086538461538
Alex,B,6,-1,0,task,24.0963,5917.896870286577
Alex,B,6,-1,1,task,34.8811,6195.551839464883
Alex,B,6,-1,2,task,19.3481,4892.923358692589
Alex,B,6,-1,3,task,14.1526,4922.264957264957
Alex,B,6,-1,4,task,9.5944,4781.9047619047615
Alex,B,6,-1,5,task,34.8875,5620.423240205849
Alex,B,6,-1,6,task,14.8917,5466.905982905983
Alex,B,6,-1,7,task,3.9142,4505.641025641025
Alex,B,7,-1,0,in,14.194,4456.241758241758
Alex,B,7,-1,0,task,21.5619,6883.3070458952825
Alex,B,7,-1,1,task,32.4484,7273.920662670663
Alex,B,7,-1,2,task,18.7242,5390.798816568047
Alex,B,7,-1,3,task,13.7033,5471.67735042735
Alex,B,7,-1,4,task,9.3816,5314.487179487181
Alex,B,7,-1,5,task,34.2794,6237.731833384007
Alex,B,7,-1,6,task,14.9703,5913.390054390054
Alex,B,7,-1,7,task,3.8871,4784.615384615385
Alex,B,0,-1,7,out,0.8358,
Alex,B,1,-1,7,out,0.531796,
Alex,B,2,-1,7,out,0.37205,
Alex,B,3,-1,7,out,0.49,
Alex,B,4,-1,7,out,0.282275,
Alex,B,5,-1,7,out,0.245379,
Alex,B,6,-1,7,out,0.215367,
Alex,B,7,-1,7,out,0.204896,
Alex,G,0,0,0,in,55.0323,3373.8764948819294
Alex,G,0,0,0,task,43.9777,3974.319272125723
Alex,G,0,0,1,task,80.6251,3747.2052947052944
Alex,G,0,0,2,task,34.687,3702.8002229654408
Alex,G,0,0,3,task,29.7849,3562.539349539349
