graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime
Alex,NNNNNNNN,BL,"(('max',),)",14.1693,55.7904,0.339004,69.9597,5084.78632478632,4077.5595980596,72.0478628717948,227.488680999584,1.72376290324786,302.34055940928,3.30752844393032,69.9597
Alex,NNNNNNNN,BB,"(('max',),)",14.264,55.2077,0.12285,69.4717,5136.70862470863,4181.15306075306,73.2700118228439,230.831843832137,0.631044654545455,304.732900309526,3.28156230910503,69.4717
Alex,GGLLLGGB,BB,{{max}},12.8074,112.32556,0.193574,125.13296,5417.99823633157,5949.76990083738,69.390470611993,668.311235982703,1.04878359059965,738.750490185296,1.3536370036779,49.9871
Alex,GGLLLGGG,BB,{{max}},12.8595,113.3149,0.342193,126.1744,5186.71649029982,5948.94963814022,66.6985807070105,674.104633350895,1.77485807596517,742.578072133871,1.34665974868663,50.3991
,,,,,,,,,,,,,0,,
Alex,GGGGGGGG,BB,"((4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7))",12.7737,108.9413,0.39688,121.715,5126.00208433542,6169.30144500603,65.4780128246753,672.091719510835,2.03440770723104,739.604140042742,1.35207463811954,121.715
Alex,BBBBBBBB,BB,{{max}},14.2141,144.4939,0.193715,158.708,5219.93506493507,6347.22028098376,74.1966790064936,917.134612558439,1.0111797211039,992.342471286037,1.00771661894511,158.708
Alex,LLLLLLLL,BB,{{max}},34.8609,124.7231,0.299999,159.584,3643.5291005291,5250.57545972684,127.016703620635,654.868048121057,1.09305508662963,782.977806828321,1.27717540813933,159.584
Alex,GGGGGGGG,BB,{{max}},12.648,107.863,0.43749,120.511,5139.28218694886,6228.24557257131,65.0016411005292,671.797252194259,2.24838456396826,739.047277858757,1.35309340817451,120.511
Alex,GGGGGGGB,BB,{{max}},12.8065,108.57134,0.217661,121.37784,5278.60670194003,6226.76244393418,67.600476728395,676.047942399609,1.14894681335097,744.797365941355,1.34264706848969,115.083
Alex,LLLLLLLL,BB,"(('max',),)",35.7001,126.6799,0.302254,162.38,3495.15416052657,4948.61456656062,124.777353046215,626.889998430443,1.0564243256358,752.723775802293,1.32850858727579,162.38
Alex,LLLLLLLL,BB,"(('min',),)",122.809,285.413,0.810454,408.222,2981.36871250225,3502.39447780607,366.138910213689,999.628915094065,2.4162621985223,1368.18408750628,0.730895797671973,408.222
Alex,BBBBBBBB,BB,"(('max',),)",14.2899,145.8121,0.193871,160.102,5064.04195804196,6113.58153920595,72.3646531762238,891.434162752853,0.981770878447552,964.780586807524,1.03650510144386,160.102
Alex,BBBBBBBB,BB,"(('min',),)",63.1759,425.6681,1.07561,488.844,3227.56005585672,3578.98828534102,203.904011332798,1523.46114334337,3.47159587168004,1730.83675054785,0.577755238721085,488.844
Alex,GGGGGGGG,BB,"(('max',),)",12.914,108.838,0.478392,121.752,5063.68376068376,6078.28517649778,65.3924120854701,661.548402039665,2.42242580164103,729.363239926776,1.37105895287565,121.752
Alex,GGGGGGGG,BB,"(('min',),)",54.8646,310.0504,1.35911,364.915,3222.11866158758,3760.78337641236,176.780251520538,1166.03239017,4.3792136941503,1347.19185538469,0.742284772583077,364.915
Alex,NNNNNNNN,BB,"(('min',),)",62.9313,26.2503,0.846271,89.1816,3313.37779257632,3549.51144121616,208.515171877958,93.1757401853566,2.80401553790135,304.494927601216,3.28412695698385,89.1816
