graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime
Google,NNNNNNNNNNN,BL,"(('max',),)",14.2668,117.2652,0.235637,131.532,5106.64235764236,3922.6569528409,72.855445188012,459.991152106278,1.20331388522777,534.049911179518,1.87248416124884,131.532
Google,NNNNNNNNNNN,BB,"(('max',),)",14.2086,116.9934,0.193258,131.202,5116.6993006993,3881.37063384523,72.7011336839161,454.094747113708,0.988843073454546,527.784723871079,1.89471190576609,131.202
Google,GGBBBBBBBBB,BB,{{max}},12.5396,148.2065,0.191212,160.7461,5461.90476190476,6594.57896360142,68.4901009523809,977.359467168994,1.04438173333333,1046.89394985471,0.955206590064623,102.332
Google,BBBBBBBBBBB,BB,{{max}},14.0536,170.4594,0.190142,184.513,5188.03703703704,6604.29532009023,72.9105973037037,1125.76421768539,0.986463738296296,1199.66127872739,0.833568622853951,184.513
Google,GGGGGGGGGGG,BB,{{max}},12.5095,166.0995,0.425717,178.609,5343.68518518518,6012.04983992285,66.8468298240741,998.598472386265,2.27489762598148,1067.72019983632,0.936574956766106,178.609
Google,LLLLLLLLLLL,BB,{{max}},34.4578,167.8922,0.296392,202.35,3647.84914529914,5224.35760449319,125.696856278889,877.128891805091,1.0811933038735,1003.90694138785,0.996108263398944,202.35
Google,LLLLLLLLLLL,BB,"(('max',),)",34.2114,172.8716,0.293037,207.083,3605.5933940703176,5052.685825062078,123.35239784189726,873.4658828758015,1.0565722714181836,997.874852989117,1.0021296728788356,207.083
Google,LLLLLLLLLLL,BB,"(('min',),)",117.862,458.211,0.802434,576.073,3004.297083044207,3452.747273151469,354.09246280175626,1582.086780778008,2.410750125535495,1938.5899937053,0.5158388329904987,576.073
Google,BBBBBBBBBBB,BB,"(('max',),)",14.0275,164.9425,0.190079,178.97,5135.608391608392,6582.735358330583,72.03974671328672,1085.772826841442,0.9761713074685316,1158.7887448621973,0.8629700663160303,178.97
Google,BBBBBBBBBBB,BB,"(('min',),)",61.9155,552.9975000000001,0.839388,614.913,3268.095603055593,3594.333405571804,202.3457733109886,1987.6573874476933,2.7432002320576285,2192.7463609907395,0.4560490979668867,614.913
Google,GGGGGGGGGGG,BB,"(('max',),)",12.3506,167.2224,0.424258,179.573,5236.805555555556,5938.005475122442,64.67769069444445,992.967526763115,2.221756651388889,1059.8669741089484,0.9435146338442334,179.573
Google,GGGGGGGGGGG,BB,"(('min',),)",53.5119,590.7981,1.54785,644.31,3289.640798005318,3643.176692275772,176.03492941878082,2152.3818677608106,5.091870509192532,2333.508667688784,0.4285392267218131,644.31
Google,NNNNNNNNNNN,BB,"(('min',),)",62.0712,23.050100000000008,0.613929,85.1213,3364.4541690193864,3552.603352529823,208.83570761603613,81.88786253614771,2.0655359835319027,292.7891061357157,3.4154276202355454,85.1213
