graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime
MobileV1,NNNNNNNNNNNNNN,BL,"(('max',),)",14.0059,79.6123,0.316429,93.6182,5032.466977466977,3836.7591584828433,70.48422923970475,305.45322115288366,1.5924184932128982,377.5298688858013,2.648797042075866,93.6182
MobileV1,NNNNNNNNNNNNNN,BB,"(('max',),)",13.9663,80.0604,0.272358,94.0267,5009.75912975913,3825.737281237282,69.96779893395494,306.2900570307693,1.364447977062937,377.6223039417872,2.648148664847287,94.0267
MobileV1,GBBLBLBBBBBBLL,BB,{{max}},12.7779,108.3446,0.300562,121.1225,5194.239858906527,6662.161460112879,66.37147749312172,721.8092185313458,1.5611911204726634,789.7418871449402,1.2662364960977073,35.8822
MobileV1,BBBBBBBBBBBBBB,BB,{{max}},14.028,92.736,0.195932,106.764,5183.077922077922,7343.197838724968,72.70821709090909,680.9787947719985,1.0155308234285714,754.7025426863362,1.325025348981251,106.764
MobileV1,LLLLLLLLLLLLLL,BB,{{max}},34.8466,101.9024,0.300903,136.749,3641.0335911002576,5400.518061822958,126.87764113563424,550.3257517431078,1.0955979306628407,678.2989908094049,1.474276113556816,136.749
MobileV1,GGGGGGGGGGGGGG,BB,{{max}},12.5408,136.9522,0.46567,149.493,5190.472663139332,6049.944121736962,65.09267957389774,828.5531573489448,2.4170474050440927,896.0628843278865,1.1159931043791351,149.493
MobileV1,GBBBBBBBBBBBBB,BB,{{max}},12.6986,95.1369,0.19426,107.8355,5475.992945326279,7512.04948969076,69.5374440155203,714.6731010957608,1.063766389559083,785.2743115008402,1.2734403575341329,89.1028
MobileV1,LLLLLLLLLLLLLL,BB,"(('max',),)",34.3639,104.3151,0.314825,138.679,3558.7786982248526,5362.830164416973,122.293515307929,559.4241648841729,1.1203925036686393,682.8380726957706,1.4644760448873455,138.679
MobileV1,LLLLLLLLLLLLLL,BB,"(('min',),)",119.225,314.64200000000005,0.84595,433.867,3054.038106969477,3571.693941319708,364.117693303436,1123.8049250847157,2.5835635365908294,1490.5061819247426,0.6709130174211456,433.867
MobileV1,BBBBBBBBBBBBBB,BB,"(('max',),)",14.1065,92.3085,0.186113,106.415,5173.496503496504,7410.304024058461,72.97992842657344,684.0340490048005,0.9628549547552449,757.9768323861292,1.319301537029801,106.415
MobileV1,BBBBBBBBBBBBBB,BB,"(('min',),)",62.6377,347.9233,1.29929,410.561,3253.549770265196,3781.445977879317,203.79487444494023,1315.653163395499,4.227304681007867,1523.675342521447,0.6563077921476071,410.561
MobileV1,GGGGGGGGGGGGGG,BB,"(('max',),)",12.427,130.667,0.479442,143.094,5154.470085470085,6154.854037667698,64.05459975213675,804.236312539925,2.4712694467179483,870.7621817387798,1.1484191906487624,143.094
MobileV1,GGGGGGGGGGGGGG,BB,"(('min',),)",54.0671,425.2729,1.89849,479.34,3292.770438356461,3718.123950604929,178.03054856766263,1581.217355033215,6.2512917495153575,1765.499195350393,0.5664120395147125,479.34
MobileV1,NNNNNNNNNNNNNN,BB,"(('min',),)",62.1711,25.518399999999993,0.525496,87.6895,3263.728113633389,3380.9563679784264,202.9095669255128,86.27659698062065,1.7150760688018913,290.9012399749353,3.4375927723311257,87.6895
