graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime
ResV1_50,NNNNNNNNNNNNNNNNNN,BL,"(('max',),)",14.1847,373.5653,0.160562,387.75,5032.92307692308,3804.65348411055,71.3905039692308,1421.2865201878,0.808096195076923,1493.48512035211,0.669574799489289,387.75
ResV1_50,NNNNNNNNNNNNNNNNNN,BB,"(('max',),)",14.026,373.3,0.272767,387.326,5137.98290598291,3831.79876612964,72.0653482393162,1430.41047939619,1.40147218331624,1503.87729981883,0.664947865175218,387.326
ResV1_50,GBBLBLBLLLLLLLLLLB,BB,{{max}},12.5184,395.96404,0.194828,408.48244,5272.99514991182,6044.44143521878,66.0094624846561,2393.38145023263,1.02732709906702,2460.41823981635,0.406434964518326,209.231
ResV1_50,BBBBBBBBBBBBBBBBBB,BB,{{max}},15.9935,424.7175,0.190857,440.711,5132.76603026603,6732.14956810434,82.0908935050597,2859.26173419136,0.979624326238484,2942.33225202265,0.339866444149048,440.711
ResV1_50,LLLLLLLLLLLLLLLLLL,BB,{{max}},33.9973,359.2387,0.288687,393.236,3701.2986975987,5601.79370127258,125.834162211872,2012.38108691335,1.06851681711368,2139.28376594234,0.467446168629017,393.236
ResV1_50,GGGGGGGGGGGGGGGGGG,BB,{{max}},14.4075,505.7675,0.381009,520.175,5186.28282828283,6283.41378246161,74.7213698484848,3177.94648022115,1.97602043412121,3254.64387050376,0.307253278634513,520.175
ResV1_50,BBBLLLLLLLLLLLLLLL,BB,{{max}},13.8735,370.4572,0.293285,384.3307,5096.34199134199,5914.26671875619,70.7041006168831,2190.9826886836,1.49468066093074,2263.18146996142,0.441855862321569,285.917
ResV1_50,BBBBBBBLLLLLLLLLLL,BB,{{max}},13.8757,379.9693,0.290656,393.845,5124.91341991342,6223.00183610379,71.1117611406926,2364.54965156307,1.48958683497836,2437.15099953874,0.41031515904811,212.311
ResV1_50,BBLLLLLLLLLLLLLLLL,BB,{{max}},13.9016,367.8178,0.290485,381.7194,5125.39393939394,5826.39446419825,71.2511763878788,2143.05159375358,1.48885005848485,2215.79162019994,0.451305976105174,309.563
ResV1_50,BBBBLLLLLLLLLLLLLL,BB,{{max}},13.9081,368.8579,0.290184,382.766,5025.42424242424,5901.073353931,69.8941029060606,2176.65752507694,1.45829770836364,2248.00992569137,0.444837893539306,272.781
ResV1_50,BBBBBLLLLLLLLLLLLL,BB,{{max}},13.9292,372.2328,0.293922,386.162,5038.74603174603,6016.27282630655,70.1857012253968,2239.4540797,1.48099831114286,2311.12077923654,0.43269049760798,249.937
ResV1_50,LLLLLLLLLLLLLLLLLL,BB,"(('max',),)",34.5068,370.9502,0.280467,405.457,3669.74674556213,5360.277792697543,126.6312169997633,1988.396119256712,1.029242860487574,2116.056579116963,0.4725771559554911,405.457
ResV1_50,LLLLLLLLLLLLLLLLLL,BB,"(('min',),)",119.803,1015.207,0.841313,1135.01,3024.729231352492,3537.857548859773,362.3716361037225,3591.657748605284,2.5447440238168584,3956.574128732823,0.2527439060822731,1135.01
ResV1_50,BBBBBBBBBBBBBBBBBB,BB,"(('max',),)",13.9742,416.4748,0.185733,430.449,5305.734265734266,6716.826075020614,74.14339177622378,2797.388796228995,0.9854499423776224,2872.5176379475965,0.3481266700644165,430.449
ResV1_50,BBBBBBBBBBBBBBBBBB,BB,"(('min',),)",71.1453,1411.5147000000002,0.701254,1482.66,3268.8102074754943,3613.4308116432535,232.5604828539063,5100.410708067385,2.2922662332330206,5335.263457154524,0.1874321686324622,1482.66
ResV1_50,GGGGGGGGGGGGGGGGGG,BB,"(('max',),)",12.325,496.868,0.358925,509.193,5225.790598290598,6304.143092611906,64.4078691239316,3132.326970139892,1.8756668904914529,3198.610506154316,0.3126357517040418,509.193
ResV1_50,GGGGGGGGGGGGGGGGGG,BB,"(('min',),)",60.5129,1549.7571,1.64133,1610.27,3314.724153930863,3782.861833232113,200.58357125440293,5862.5169843704825,5.440556195571343,6068.5411118204565,0.1647842507076659,1610.27
ResV1_50,NNNNNNNNNNNNNNNNNN,BB,"(('min',),)",61.2787,35.12179999999999,0.829733,96.4005,3260.4916111020766,3647.11889632107,199.79868728924083,128.09338045280936,2.70533748595456,330.59740522800473,3.0248271286652266,96.4005
