graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime
SqueezeV1,NNNNNNNNNN,BL,"(('max',),)",14.4108,56.0054,0.205012,70.4162,5069.440559440559,4108.347123098115,73.05469401398601,230.0896239679592,1.039296147972028,304.1836141299172,3.2874880616445656,70.4162
SqueezeV1,NNNNNNNNNN,BB,"(('max',),)",14.4604,56.6283,0.2331,71.0887,5058.685314685315,4116.280676876536,73.15061312447553,233.0979770543676,1.1791795468531467,307.42776972569624,3.252796586633193,71.0887
SqueezeV1,GBGGBGBGLL,BB,{{max}},12.7641,101.96813,0.296163,114.73223,5084.827160493828,6267.477225903837,64.90324235925927,639.0829325430018,1.5059376663333337,705.4921125685944,1.4174502906335056,34.2442
SqueezeV1,BBBBBBBBBB,BB,{{max}},14.4628,100.7782,0.196987,115.241,5221.139971139972,6793.416276310643,75.51230317460318,684.6282641772892,1.0284966994949496,761.1690640513873,1.3137685794498986,115.241
SqueezeV1,LLLLLLLLLL,BB,{{max}},34.8887,105.7203,0.296892,140.609,3618.750140189029,5292.395164148665,126.25348801601298,559.5136044723462,1.0743779666210012,686.8414704549801,1.455940042958641,140.609
SqueezeV1,GGGGGGGGGG,BB,{{max}},12.8574,91.4426,0.458549,104.3,5384.440138344899,6398.3819223884775,69.22990063475571,585.0846787762006,2.469029640997915,656.7836090519542,1.522571492676968,104.3
SqueezeV1,GGGGGGGGLL,BB,{{max}},12.7702,87.25699999999999,0.302638,100.0272,5110.8606701940025,6320.248693260104,65.26671293051146,551.4859402277968,1.5467406515061726,618.2993938098144,1.6173394475421314,83.7164
SqueezeV1,LLLLLLLLLL,BB,"(('max',),)",35.547,105.774,0.314038,141.321,3609.578128424282,5364.962445581174,128.30967373109794,567.473537718903,1.1335446962941047,696.916756146295,1.4348916010136543,141.321
SqueezeV1,LLLLLLLLLL,BB,"(('min',),)",122.989,276.29,0.800159,399.279,3013.040360419959,3577.4556192827654,370.57082088769033,988.4152130516352,2.410911361753274,1361.3969453010786,0.7345396237677365,399.279
SqueezeV1,BBBBBBBBBB,BB,"(('max',),)",14.4603,99.1497,0.188067,113.61,5227.762237762237,6835.067300818784,75.59501028671328,677.6948723559922,0.9831695607692308,754.2730522034748,1.3257798314266664,113.61
SqueezeV1,BBBBBBBBBB,BB,"(('min',),)",63.4857,323.0193,1.22955,386.505,3268.831575170861,3751.014358950305,207.5240607318248,1211.6500325180762,4.019191863251332,1423.1932851131523,0.702645248864067,386.505
SqueezeV1,GGGGGGGGGG,BB,"(('max',),)",12.7023,92.8117,0.365575,105.514,5273.461538461538,6371.089436510282,66.98509049999998,591.3116414545614,1.9278457019230768,660.2245776564844,1.5146361311624803,105.514
SqueezeV1,GGGGGGGGGG,BB,"(('min',),)",55.0638,300.6122,1.21902,355.676,3293.331395308882,3774.6071462233353,181.3433412850092,1134.6929583619185,4.014636837509433,1320.050936484437,0.7575465251842497,355.676
SqueezeV1,NNNNNNNNNN,BB,"(('min',),)",62.9885,21.164699999999996,0.677367,84.1532,3271.6195544356965,3372.163003663004,206.07440830457287,71.37081832362637,2.2160871227294447,279.6613137509287,3.5757537808415565,84.1532
