graph,order,host,freq,pipeline_time,FPS,Latency,pipeline_power,input_e,task_e,output_e,total_e,power_efficiency,input_power,task_power,input_time,task_time,output_time,total_time,pipelinetime
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,BB,"(('max',),)",,,,,935.5194776605007,23861.259357533945,1.761947994117734,,,3722.09769024079,5881.28886536403,251.342,4057.148,0.473375,4308.49,4308.49
YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,BB,"(('min',),)",,,,,2647.479658761153,41638.74077030533,4.917377066572408,,,3035.08071113852,3654.60264081159,872.293,11393.507,1.62018,12265.8,12265.8
YOLOv3,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,BB,"(('max',),)",,,,,522.0467500531889,33136.67791566374,1.6166149712866678,,,5254.22590195193,7196.39404004644,99.3575,4604.6225,0.307679,4703.98,4703.98
YOLOv3,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,BB,"(('min',),)",,,,,1467.3632173200144,59182.0729952455,3.647301285030051,,,3340.99853897667,3745.25020725326,439.199,15801.901,1.09168,16241.1,16241.1
YOLOv3,GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,BB,"(('max',),)",,,,,474.5257420273682,36718.7306641902,16.64178702813522,,,5451.22984363307,6445.80580671499,87.0493,5696.5307,3.05285,5783.58,5783.58
YOLOv3,GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,BB,"(('min',),)",,,,,1279.1597527345436,77107.25344472018,26.80318816559676,,,3378.82712744312,3858.36853424261,378.581,19984.419,7.93269,20363.0,20363.0
YOLOv3,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,BB,"(('max',),)",,,,,513.8831688367571,1509.251730968716,1.3164666508188585,,,5165.490786315747,4492.313980221982,99.4839,335.9631,0.254858,435.447,435.447
YOLOv3,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,BB,"(('min',),)",,,,,1441.1354345226691,1823.5607735079618,3.3239802988443414,,,3277.4083265244294,3675.948333849975,439.718,496.079,1.01421,935.797,935.797
