Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power
Alex,B,max,max,0,in,11.1224,3068.424908424909
Alex,B,max,max,0,task,14.515,5626.287266605447
Alex,B,max,max,1,task,16.5881,6692.464580873672
Alex,B,max,max,2,task,5.6366,4809.883838383838
Alex,B,max,max,3,task,4.7694,4623.12937062937
Alex,B,max,max,4,task,3.4999,4146.884978820463
Alex,B,max,max,5,task,38.9694,4095.392264269104
Alex,B,max,max,6,task,17.0966,3990.60843255875
Alex,B,max,max,7,task,4.4141,3262.669515860229
Alex,B,max,max,7,out,0.189833,
Alex,G,max,max,0,in,11.4245,2867.2336737336736
Alex,G,max,max,0,task,10.0324,3666.845238095239
Alex,G,max,max,1,task,14.9769,3598.864801864802
Alex,G,max,max,2,task,9.2266,3318.365868931907
Alex,G,max,max,3,task,5.76,3054.2965367965367
Alex,G,max,max,4,task,4.4797,2976.072084481176
Alex,G,max,max,5,task,36.2712,3422.728022428022
Alex,G,max,max,6,task,10.3518,3165.5205182944915
Alex,G,max,max,7,task,6.7669,2949.827277318915
Alex,G,max,max,7,out,0.342085,
Alex,L,max,max,0,in,31.1068,2327.54445246112
Alex,L,max,max,0,task,33.6654,3098.9268330922478
Alex,L,max,max,1,task,44.6181,3480.635705169979
Alex,L,max,max,2,task,15.9779,3181.912347776833
Alex,L,max,max,3,task,14.5788,3076.4596847003263
Alex,L,max,max,4,task,11.3829,2993.46171070309
Alex,L,max,max,5,task,60.8758,2909.8086200532075
Alex,L,max,max,6,task,25.5204,2905.93406272077
Alex,L,max,max,7,task,6.2972,2482.6216311509065
Alex,L,max,max,7,out,0.335262,
MobileV1,B,max,max,0,in,10.7866,3016.612276612277
MobileV1,B,max,max,0,task,4.1961,4013.7474747474735
MobileV1,B,max,max,1,task,8.6874,4117.131157513511
MobileV1,B,max,max,2,task,4.9229,4294.292929292929
MobileV1,B,max,max,3,task,7.6621,4863.580928330929
MobileV1,B,max,max,4,task,3.2414,3761.00505050505
MobileV1,B,max,max,5,task,4.9146,4377.392496392496
MobileV1,B,max,max,6,task,2.4009,3215.0505050505053
MobileV1,B,max,max,7,task,3.815,4142.479797979799
MobileV1,B,max,max,8,task,4.5723,4001.969696969697
MobileV1,B,max,max,9,task,4.1587,4436.221303948576
MobileV1,B,max,max,10,task,4.3521,4432.272727272727
MobileV1,B,max,max,11,task,4.2502,4313.885281385282
MobileV1,B,max,max,12,task,2.6777,3393.2070707070707
MobileV1,B,max,max,13,task,5.9305,3645.341802937391
MobileV1,B,max,max,13,out,0.191468,
MobileV1,G,max,max,0,in,10.6747,2874.2742257742266
MobileV1,G,max,max,0,task,3.0487,3197.474747474748
MobileV1,G,max,max,1,task,5.6448,3069.2676767676767
MobileV1,G,max,max,2,task,4.4806,3042.5252525252527
MobileV1,G,max,max,3,task,6.1999,3120.454545454545
MobileV1,G,max,max,4,task,3.3119,2698.333333333333
MobileV1,G,max,max,5,task,4.8474,2966.5404040404032
MobileV1,G,max,max,6,task,3.8862,2673.6868686868684
MobileV1,G,max,max,7,task,5.9401,2889.9141414141413
MobileV1,G,max,max,8,task,5.5768,2899.9494949494947
MobileV1,G,max,max,9,task,5.7813,2966.358585858586
MobileV1,G,max,max,10,task,5.725,2897.7676767676767
MobileV1,G,max,max,11,task,5.4224,2871.813131313132
MobileV1,G,max,max,12,task,3.8439,2656.280663780664
MobileV1,G,max,max,13,task,7.4771,3035.9779127967986
MobileV1,G,max,max,13,out,0.359465,
MobileV1,L,max,max,0,in,29.7693,2493.4775322591418
MobileV1,L,max,max,0,task,8.4388,2972.5309042809045
MobileV1,L,max,max,1,task,17.2491,2990.8349731077
MobileV1,L,max,max,2,task,11.35,3035.4478114478115
MobileV1,L,max,max,3,task,17.7505,2945.178488178488
MobileV1,L,max,max,4,task,8.4836,3077.675925925926
MobileV1,L,max,max,5,task,12.8841,3034.664064891338
MobileV1,L,max,max,6,task,6.8258,3156.205627705628
MobileV1,L,max,max,7,task,10.9211,3235.140692640692
MobileV1,L,max,max,8,task,10.9422,3228.7590187590185
MobileV1,L,max,max,9,task,10.9082,3226.3780663780667
MobileV1,L,max,max,10,task,10.7955,3299.146825396825
MobileV1,L,max,max,11,task,10.5638,3160.7885421030583
MobileV1,L,max,max,12,task,6.1711,2744.124078155638
MobileV1,L,max,max,13,task,13.1968,2813.8347063009137
MobileV1,L,max,max,13,out,0.335351,
ResV1_50,B,max,max,0,in,10.9999,3072.736485736486
ResV1_50,B,max,max,0,task,18.7779,5693.661744969232
ResV1_50,B,max,max,1,task,16.8587,6268.029581529582
ResV1_50,B,max,max,2,task,15.2903,6226.299816345271
ResV1_50,B,max,max,3,task,8.9897,5906.2770562770565
ResV1_50,B,max,max,4,task,15.9405,6390.736225895317
ResV1_50,B,max,max,5,task,11.5743,5991.948865948866
ResV1_50,B,max,max,6,task,11.4634,6067.762866762867
ResV1_50,B,max,max,7,task,6.5622,5837.878711931343
ResV1_50,B,max,max,8,task,15.2129,6639.505961340546
ResV1_50,B,max,max,9,task,11.4251,5995.616556572568
ResV1_50,B,max,max,10,task,11.2321,5985.0116433486
ResV1_50,B,max,max,11,task,11.455,6009.484137915957
ResV1_50,B,max,max,12,task,11.3082,5980.914927664927
ResV1_50,B,max,max,13,task,6.7767,5694.858791084218
ResV1_50,B,max,max,14,task,23.6288,5576.228633430839
ResV1_50,B,max,max,15,task,18.3379,4987.369348997257
ResV1_50,B,max,max,16,task,18.7259,4800.223281323296
ResV1_50,B,max,max,17,task,2.2934,3521.0490233727896
ResV1_50,B,max,max,17,out,0.185072,
ResV1_50,G,max,max,0,in,11.2985,2897.395770895771
ResV1_50,G,max,max,0,task,13.4123,3805.3299663299663
ResV1_50,G,max,max,1,task,14.16,3721.286348331803
ResV1_50,G,max,max,2,task,12.8801,3634.164600550964
ResV1_50,G,max,max,3,task,8.2506,3443.839826839827
ResV1_50,G,max,max,4,task,15.5887,3820.250350393892
ResV1_50,G,max,max,5,task,11.3642,3537.8388278388275
ResV1_50,G,max,max,6,task,11.2762,3592.0654345654343
ResV1_50,G,max,max,7,task,8.3767,3227.131313131313
ResV1_50,G,max,max,8,task,24.918,3527.8271687462866
ResV1_50,G,max,max,9,task,16.4815,3381.233356290175
ResV1_50,G,max,max,10,task,16.5862,3379.337891661939
ResV1_50,G,max,max,11,task,16.4719,3404.3851760613124
ResV1_50,G,max,max,12,task,16.8079,3391.2434882037155
ResV1_50,G,max,max,13,task,9.7515,3124.053391053391
ResV1_50,G,max,max,14,task,41.8001,3669.309459021329
ResV1_50,G,max,max,15,task,32.0899,3626.12578495286
ResV1_50,G,max,max,16,task,28.7757,3576.833481264636
ResV1_50,G,max,max,17,task,2.1286,2974.409817045987
ResV1_50,G,max,max,17,out,0.354405,
ResV1_50,L,max,max,0,in,30.3824,2401.773288439955
ResV1_50,L,max,max,0,task,41.901,2929.9994839405226
ResV1_50,L,max,max,1,task,44.0324,3153.399800202632
ResV1_50,L,max,max,2,task,39.4001,3209.335413788561
ResV1_50,L,max,max,3,task,20.3005,3275.6427500353
ResV1_50,L,max,max,4,task,43.3525,3342.2892895696205
ResV1_50,L,max,max,5,task,30.0379,3400.102822382578
ResV1_50,L,max,max,6,task,29.837,3397.5433085433096
ResV1_50,L,max,max,7,task,17.3289,3438.827117327117
ResV1_50,L,max,max,8,task,47.2762,3452.964098253203
ResV1_50,L,max,max,9,task,36.0559,3430.3984816334714
ResV1_50,L,max,max,10,task,35.9702,3371.7968642979563
ResV1_50,L,max,max,11,task,37.2104,3342.6075535575537
ResV1_50,L,max,max,12,task,36.6347,3321.0237175138964
ResV1_50,L,max,max,13,task,17.5314,3355.2105734767038
ResV1_50,L,max,max,14,task,50.6374,3378.456703085275
ResV1_50,L,max,max,15,task,38.2151,3357.9866604920376
ResV1_50,L,max,max,16,task,40.047,3310.761221685441
ResV1_50,L,max,max,17,task,3.5194,3082.985387070038
ResV1_50,L,max,max,17,out,0.330582,
Alex,B,max,max,0,in,11.191,2956.199245199246
Alex,B,max,max,0,task,14.3059,5613.656926406927
Alex,B,max,max,1,task,16.4585,6702.317669704034
Alex,B,max,max,2,task,5.4128,4742.469916556873
Alex,B,max,max,3,task,4.7492,4382.486610288935
Alex,B,max,max,4,task,3.5391,3962.0161070161066
Alex,B,max,max,5,task,38.7786,4089.0687096344595
Alex,B,max,max,6,task,17.0881,3918.900140263776
Alex,B,max,max,7,task,4.2642,3156.3555556960036
Alex,B,max,max,7,out,0.181978,
Alex,G,max,max,0,in,11.4721,2515.9110283655737
Alex,G,max,max,0,task,10.0663,3143.3766941119884
Alex,G,max,max,1,task,14.9275,3174.509583998889
Alex,G,max,max,2,task,9.1494,3488.488776517936
Alex,G,max,max,3,task,5.7582,3304.789597271415
Alex,G,max,max,4,task,4.4644,3135.668918623464
