Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power
Alex,B,max,max,0,in,10.9857,2980.6873265623262
Alex,B,max,max,0,task,12.0915,6035.344276094276
Alex,B,max,max,1,task,16.2453,6490.285335876247
Alex,B,max,max,2,task,5.4741,4716.122636622637
Alex,B,max,max,3,task,4.6059,4439.715311004785
Alex,B,max,max,4,task,3.8202,3762.8939393939395
Alex,B,max,max,5,task,38.3379,4015.5692201116394
Alex,B,max,max,6,task,17.0312,3866.9337968428895
Alex,B,max,max,7,task,4.2661,3079.689239332097
Alex,B,max,max,7,out,1.5019,
Alex,G,max,max,0,in,11.5639,2530.5210826754947
Alex,G,max,max,0,task,11.7551,3058.169847828939
Alex,G,max,max,1,task,17.049,3263.052193177193
Alex,G,max,max,2,task,9.8506,3096.8081200835213
Alex,G,max,max,3,task,6.3886,2915.1641414141413
Alex,G,max,max,4,task,5.0624,2770.813590449954
Alex,G,max,max,5,task,40.8657,2934.0430832265965
Alex,G,max,max,6,task,12.189,3005.5171853057227
Alex,G,max,max,7,task,7.8564,2643.2486191373746
Alex,G,max,max,7,out,2.37801,
Alex,L,max,max,0,in,30.6013,2253.7369480243046
Alex,L,max,max,0,task,31.1396,2824.2852603271263
Alex,L,max,max,1,task,44.0465,3117.218528674541
Alex,L,max,max,2,task,19.5752,3127.313784024354
Alex,L,max,max,3,task,14.0799,3034.52044162528
Alex,L,max,max,4,task,11.6203,2916.5200087269054
Alex,L,max,max,5,task,60.0457,2834.4739750968947
Alex,L,max,max,6,task,28.1328,2818.2602843182112
Alex,L,max,max,7,task,6.1889,2678.975835937679
Alex,L,max,max,7,out,0.638332,
MobileV1,B,max,max,0,in,10.6498,2946.906565656566
MobileV1,B,max,max,0,task,4.0585,4501.464646464647
MobileV1,B,max,max,1,task,8.9998,4273.843696707334
MobileV1,B,max,max,2,task,5.4432,4281.336219336218
MobileV1,B,max,max,3,task,7.8479,4452.774695001967
MobileV1,B,max,max,4,task,3.3045,3963.636363636364
MobileV1,B,max,max,5,task,4.9736,3926.7929292929293
MobileV1,B,max,max,6,task,2.4275,3388.969696969697
MobileV1,B,max,max,7,task,3.9404,3388.257575757576
MobileV1,B,max,max,8,task,4.0306,4097.777777777778
MobileV1,B,max,max,9,task,4.2388,4162.585137085138
MobileV1,B,max,max,10,task,4.112,3984.409090909091
MobileV1,B,max,max,11,task,4.344,4047.366522366523
MobileV1,B,max,max,12,task,2.4828,3531.616161616162
MobileV1,B,max,max,13,task,6.0342,3731.7326118326114
MobileV1,B,max,max,13,out,2.19973,
MobileV1,G,max,max,0,in,10.7509,2561.0082753946385
MobileV1,G,max,max,0,task,2.9673,3083.8383838383834
MobileV1,G,max,max,1,task,5.6266,3034.646464646465
MobileV1,G,max,max,2,task,4.5136,2845.686868686869
MobileV1,G,max,max,3,task,6.1872,2897.8131313131316
