Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power
Google,B,max,max,0,in,11.7627,3084.4697693374164
Google,B,max,max,0,task,16.4572,4989.22225249498
Google,B,max,max,1,task,19.6259,4906.263652349778
Google,B,max,max,2,task,9.6859,4817.6985590167415
Google,B,max,max,3,task,17.9193,5302.132033240184
Google,B,max,max,4,task,5.7916,5310.116973935155
Google,B,max,max,5,task,6.5149,5388.42407755643
Google,B,max,max,6,task,6.9673,4978.726389771844
Google,B,max,max,7,task,7.7265,5045.510101010102
Google,B,max,max,8,task,10.6752,4845.579518124972
Google,B,max,max,9,task,5.342,4615.958243145743
Google,B,max,max,10,task,8.2295,4746.910522273426
Google,B,max,max,10,out,2.1811,
Google,G,max,max,0,in,12.6517,2418.6392602495544
Google,G,max,max,0,task,12.8217,3265.9301346801344
Google,G,max,max,1,task,11.0017,3408.6364073636796
Google,G,max,max,2,task,6.9684,3192.403439153439
Google,G,max,max,3,task,14.8539,3157.0787091696184
Google,G,max,max,4,task,6.2302,3092.101398601398
Google,G,max,max,5,task,7.2861,2909.0277777777774
Google,G,max,max,6,task,7.6571,2891.567783094099
Google,G,max,max,7,task,8.2284,2981.6969696969704
Google,G,max,max,8,task,11.9664,3056.209741089051
Google,G,max,max,9,task,5.4393,3013.78502415459
Google,G,max,max,10,task,7.8548,2921.3272005772005
Google,G,max,max,10,out,2.83365,
Google,L,max,max,0,in,30.0172,2224.074392498635
Google,L,max,max,0,task,44.2947,2893.731054055101
Google,L,max,max,1,task,63.9627,2909.104832714803
Google,L,max,max,2,task,23.153,2858.561907739047
Google,L,max,max,3,task,47.648,2915.6649214749127
Google,L,max,max,4,task,15.3381,3002.895296548372
Google,L,max,max,5,task,17.194,2869.3974282195627
Google,L,max,max,6,task,19.0172,2928.946255764438
Google,L,max,max,7,task,19.7485,2914.268491924742
Google,L,max,max,8,task,29.1214,2992.05587873287
Google,L,max,max,9,task,11.2382,3045.259333456142
Google,L,max,max,10,task,16.7384,2864.590891176446
Google,L,max,max,10,out,2.24524,
