Graph,Component,Freq,Freq_Host,Layer,Metric,Time,Power
Google,B,max,max,0,in,11.7736,3499.929292929293
Google,B,max,max,0,task,17.0485,5394.4724608545
Google,B,max,max,1,task,19.5237,4175.757575757576
Google,B,max,max,2,task,9.1971,4715.032574549321
Google,B,max,max,3,task,17.8119,6143.297788070515
Google,B,max,max,4,task,5.849,5924.886590112399
Google,B,max,max,5,task,6.5007,5458.244630369631
Google,B,max,max,6,task,6.7846,6088.538178992723
Google,B,max,max,7,task,7.3176,4754.142332415059
Google,B,max,max,8,task,10.1174,4975.70482603816
Google,B,max,max,9,task,5.3093,5174.0165945165945
Google,B,max,max,10,task,8.1044,5178.535823604006
Google,B,max,max,10,out,2.07646,
Google,G,max,max,0,in,12.5615,2759.293636646578
Google,G,max,max,0,task,12.8041,3566.8417508417515
Google,G,max,max,1,task,11.1426,3697.2531635031633
Google,G,max,max,2,task,6.9615,3431.175805675806
Google,G,max,max,3,task,14.7902,3421.5727403909223
Google,G,max,max,4,task,6.1362,3348.826446280992
Google,G,max,max,5,task,7.2826,3118.7620320855613
Google,G,max,max,6,task,7.6331,3192.116427432217
Google,G,max,max,7,task,8.2586,3200.5505050505053
Google,G,max,max,8,task,11.8608,3337.324494949495
Google,G,max,max,9,task,5.4499,3246.758111417202
Google,G,max,max,10,task,8.0058,3168.429292929293
Google,G,max,max,10,out,2.71228,
Google,L,max,max,0,in,29.914,2462.7699927196736
Google,L,max,max,0,task,44.4648,3164.124062154854
Google,L,max,max,1,task,63.7577,3130.316582244734
Google,L,max,max,2,task,23.0707,3113.507325933128
Google,L,max,max,3,task,47.5646,3213.9515114728324
Google,L,max,max,4,task,15.3214,3199.616719367898
Google,L,max,max,5,task,17.067,3138.5099126462765
Google,L,max,max,6,task,22.7486,3121.885080270915
Google,L,max,max,7,task,19.6366,3145.2566855187824
Google,L,max,max,8,task,28.9923,3249.93398414451
Google,L,max,max,9,task,11.2448,3176.4348554671133
Google,L,max,max,10,task,16.5903,3131.6033362883845
Google,L,max,max,10,out,2.62883,
