,graph,order,freq,input_power,task_power,input_time,task_time,output_time,total_time,pipelinetime,threads_big,threads_little
0,Alex,BBBBBBBB,{{max}},5206.14574314574,5414.85434613392,14.1053,205.9167,0.192918,220.022,220.022,1,4
0,Alex,BBBBBBBB,{{max}},5360.6911976912,6463.53277314335,14.1521,145.3319,0.19266,159.484,159.484,2,4
0,Alex,BBBBBBBB,{{max}},5253.66522366522,5920.2170826222,14.1509,164.3651,0.204575,178.516,178.516,3,4
0,Alex,BBBBBBBB,{{max}},5325.25974025974,6225.97444425346,14.121,138.49,0.209796,152.611,152.611,4,4
0,Alex,BBBBBBBB,{{max}},5293.65945165945,6550.07006671275,14.1333,123.2567,0.22944,137.39,137.39,5,4
0,Alex,BBBBBBBB,{{max}},5319.64646464646,6606.16883404517,14.1855,117.2365,0.227111,131.422,131.422,6,4
0,Alex,LLLLLLLL,{{max}},3681.69603174603,4062.50757391422,34.9913,295.3517,0.292867,330.343,330.343,2,1
0,Alex,LLLLLLLL,{{max}},3712.45661375661,4741.66426352388,34.8755,173.4965,0.302332,208.372,208.372,2,2
0,Alex,LLLLLLLL,{{max}},3739.1417989418,5084.13280732853,34.8888,143.0592,0.297072,177.948,177.948,2,3
0,Alex,LLLLLLLL,{{max}},3793.4126984127,5383.60045518192,34.978,126.336,0.295089,161.314,161.314,2,4
0,Alex,LLLLLLLL,{{max}},3796.64814814815,6224.85930995356,34.9626,112.1964,0.298219,147.159,147.159,2,5
0,Alex,LLLLLLLL,{{max}},3864.67962962963,7018.14045775466,34.948,104.412,0.301788,139.36,139.36,2,6
0,Google,BBBBBBBBBBB,{{max}},5250.81458048125,5422.89355555141,13.923,254.654,0.209485,268.577,268.577,1,4
0,Google,BBBBBBBBBBB,{{max}},5372.31313131313,6803.08831064212,13.9285,166.8005,0.192553,180.729,180.729,2,4
0,Google,BBBBBBBBBBB,{{max}},5274.68245334912,5738.8346045837,14.0639,217.6431,0.244913,231.707,231.707,3,4
0,Google,BBBBBBBBBBB,{{max}},5343.08802308802,6113.74933572032,14.0018,176.7412,0.234252,190.743,190.743,4,4
0,Google,BBBBBBBBBBB,{{max}},5345.85137085137,6362.08738188065,14.0045,153.4175,0.235924,167.422,167.422,5,4
0,Google,BBBBBBBBBBB,{{max}},5349.92095558762,6611.04766935113,13.9533,137.2527,0.205586,151.206,151.206,6,4
0,Google,LLLLLLLLLLL,{{max}},3666.7375050875,3930.86768708254,34.6056,465.6524,0.295026,500.258,500.258,2,1
0,Google,LLLLLLLLLLL,{{max}},3709.97773707774,4530.14806826772,34.4698,274.1192,0.29871,308.589,308.589,2,2
0,Google,LLLLLLLLLLL,{{max}},3747.60636729526,4925.20094709696,34.4854,210.6906,0.29751,245.176,245.176,2,3
0,Google,LLLLLLLLLLL,{{max}},3827.261667345,5317.2912161099,34.6256,167.5084,0.301297,202.134,202.134,2,4
0,Google,LLLLLLLLLLL,{{max}},3892.77544430878,6499.76765629966,34.6238,146.0972,0.295152,180.721,180.721,2,5
0,Google,LLLLLLLLLLL,{{max}},4007.44612219057,7517.40756413116,34.5582,125.1288,0.296888,159.687,159.687,2,6
0,MobileV1,BBBBBBBBBBBBBB,{{max}},5129.46143979477,5546.81915648612,13.9513,156.7717,0.190099,170.723,170.723,1,4
