Graph,Layer,Dest,Src,Time
Alex,0,B,G,2.45104
Alex,1,G,B,2.00157
Alex,2,B,G,0.905115
Alex,3,G,B,2.21865
Alex,4,B,G,0.540079
Alex,5,G,B,1.03265
Alex,6,B,G,0.554828
Alex,0,G,B,3.03652
Alex,1,B,G,0.81199
Alex,2,G,B,1.9643
Alex,3,B,G,0.826924
Alex,4,G,B,1.14615
Alex,5,B,G,0.548941
Alex,6,G,B,1.0231
Alex,0,L,G,0.878238
Alex,1,G,L,1.5096
Alex,2,L,G,0.899772
Alex,3,G,L,1.70206
Alex,4,L,G,0.598908
Alex,5,G,L,1.24068
Alex,6,L,G,0.564395
Alex,0,G,L,1.73958
Alex,1,L,G,0.80624
Alex,2,G,L,1.70739
Alex,3,L,G,0.837642
Alex,4,G,L,1.3203
Alex,5,L,G,0.56841
Alex,6,G,L,1.26361
Alex,0,L,B,0.295643
Alex,1,B,L,0.20929
Alex,2,L,B,0.241053
Alex,3,B,L,0.275474
Alex,4,L,B,0.0799896
Alex,5,B,L,0.0769612
Alex,6,L,B,0.0593639
Alex,0,B,L,0.319701
Alex,1,L,B,0.204604
Alex,2,B,L,0.269194
Alex,3,L,B,0.232429
Alex,4,B,L,0.0740688
Alex,5,L,B,0.0615028
Alex,6,B,L,0.065275
Google,0,B,G,2.55012
Google,1,G,B,4.9105
Google,2,B,G,3.57209
Google,3,G,B,4.06162
Google,4,B,G,1.92656
Google,5,G,B,3.20949
Google,6,B,G,1.74861
Google,7,G,B,3.26329
Google,8,B,G,1.00526
Google,9,G,B,1.33551
Google,0,G,B,3.82623
Google,1,B,G,1.91438
Google,2,G,B,3.92387
Google,3,B,G,1.26215
Google,4,G,B,2.82307
Google,5,B,G,1.68102
Google,6,G,B,3.21789
Google,7,B,G,1.7864
Google,8,G,B,2.98294
Google,9,B,G,1.27269
Google,0,L,G,1.71467
Google,1,G,L,2.67585
Google,2,L,G,1.72336
Google,3,G,L,2.14653
Google,4,L,G,1.16668
Google,5,G,L,1.99553
Google,6,L,G,1.14636
Google,7,G,L,2.04807
Google,8,L,G,0.836806
Google,9,G,L,1.62866
Google,0,G,L,2.5623
Google,1,L,G,1.41209
Google,2,G,L,2.66523
Google,3,L,G,1.04959
Google,4,G,L,1.96936
Google,5,L,G,1.06296
Google,6,G,L,1.84044
Google,7,L,G,1.07531
Google,8,G,L,1.52843
Google,9,L,G,0.8211
Google,0,L,B,0.783849
Google,1,B,L,0.636271
Google,2,L,B,0.606837
Google,3,B,L,0.406938
Google,4,L,B,0.283062
Google,5,B,L,0.396472
Google,6,L,B,0.310829
Google,7,B,L,0.406982
Google,8,L,B,0.16382
Google,9,B,L,0.161894
Google,0,B,L,0.847817
Google,1,L,B,0.524052
Google,2,B,L,0.791384
Google,3,L,B,0.328679
Google,4,B,L,0.411435
Google,5,L,B,0.290957
Google,6,B,L,0.425235
Google,7,L,B,0.324382
Google,8,B,L,0.202553
Google,9,L,B,0.13984
MobileV1,0,B,G,3.81017
MobileV1,1,G,B,7.15985
MobileV1,2,B,G,4.63819
MobileV1,3,G,B,4.65657
MobileV1,4,B,G,2.46249
