Unnamed: 0,graph,order,freq,predict_total_time,predict_average_power,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
0,YOLOv3,LBNNNBLLLBLLNLLLLLBNLLLBLBLLLLLLLLLLLBBLNLLLLLLBLBNLLBLBLLLGBLLLLNGLNBNBBBB,"((1,), (0,), (0,), (0,), (0,), (2,), (0,), (2,), (1,), (0,), (0,), (0,), (0,), (0,), (3,), (1,), (3,), (1,), (0,), (0,), (1,), (0,), (1,), (0,), (0,), (0,), (1,), (1,), (3,), (3,), (1,), (0,), (0,), (0,), (2,), (0,), (0,), (0,), (0,), (0,), (0,), (4,), (0,), (1,), (0,), (0,), (1,), (0,), (2,), (0,), (0,), (1,), (0,), (0,), (1,), (1,), (0,), (0,), (2,), (0, 7), (0,), (0,), (1,), (0,), (2,), (0,), (2, 7), (1,), (0,), (0,), (0,), (0,), (0,), (0,), (0,))",13475.1360823014,3540.5293947649,605.285,14967.314400000005,15572.599400000005,3076.068281417808,3507.2951495291827,1861.897989717978,52494.7891965983,54356.68718631628
1,YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLNLLLLLLLLL,"((5,), (5,), (4,), (5,), (5,), (5,), (5,), (5,), (5,), (4,), (4,), (5,), (5,), (4,), (4,), (4,), (4,), (3,), (4,), (4,), (5,), (3,), (5,), (4,), (4,), (5,), (4,), (5,), (5,), (5,), (5,), (5,), (4,), (5,), (5,), (4,), (5,), (4,), (5,), (5,), (5,), (5,), (4,), (4,), (4,), (5,), (4,), (4,), (5,), (5,), (4,), (4,), (5,), (4,), (4,), (5,), (5,), (5,), (5,), (5,), (5,), (4,), (4,), (5,), (5,), (0,), (4,), (5,), (5,), (4,), (4,), (4,), (4,), (5,), (5,))",4465.92886690512,5209.76586192104,256.054,4394.503000000001,4650.557000000001,3365.0855514700497,5116.018259334651,861.643615796112,22482.357588700903,23344.001204497017
2,YOLOv3,LLNNNLLLLBLLLLLLLLLNLLLBLBLLLLLLLLLLLBBLNLLLLLLBLBNLLLLLLLLGBLLLLNLLLBNBBBL,"((1,), (1,), (0,), (0,), (0,), (2,), (0,), (0,), (1,), (0,), (0,), (2,), (3,), (2,), (3,), (1,), (4,), (2,), (3,), (0,), (1,), (2,), (1,), (0,), (1,), (0,), (1,), (2,), (1,), (3,), (1,), (3,), (1,), (0,), (2,), (1,), (2,), (0,), (0,), (1,), (0,), (2,), (3,), (1,), (1,), (0,), (3,), (0,), (2,), (0,), (0,), (2,), (1,), (1,), (1,), (1,), (0,), (0,), (5,), (0, 7), (0,), (0,), (1,), (0,), (2,), (0,), (1,), (4,), (1,), (0,), (0,), (0,), (0,), (0,), (2,))",11212.1662970678,3617.08566414349,604.001,11856.972300000005,12460.973300000003,3183.1277856239512,3683.875119558164,1922.612365644652,43679.60524926035,45602.217614905
3,YOLOv3,LLNNNLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLBLNLLLLLLLLLLLLLLLLLLLLLLLLNLLLLLLBLL,"((4,), (2,), (0,), (0,), (0,), (3,), (2,), (4,), (1,), (1,), (1,), (2,), (3,), (2,), (2,), (3,), (3,), (2,), (4,), (2,), (4,), (2,), (3,), (3,), (4,), (1,), (2,), (2,), (3,), (3,), (4,), (3,), (2,), (1,), (3,), (4,), (3,), (3,), (0,), (0,), (0,), (4,), (3,), (1,), (4,), (3,), (3,), (1,), (2,), (4,), (3,), (3,), (1,), (3,), (3,), (1,), (2,), (3,), (4,), (3,), (3,), (1,), (1,), (1,), (3,), (0,), (1,), (4,), (4,), (2,), (1,), (3,), (1,), (3,), (3,))",7062.06646904876,3998.80892300712,302.178,7738.243100000001,8040.4211,3323.8933035556333,3980.492920507505,1004.407430681834,30802.021876716048,31806.42930739788
4,YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLNLLLLLLLLL,"((5,), (3,), (4,), (4,), (4,), (5,), (4,), (5,), (4,), (3,), (2,), (4,), (5,), (3,), (4,), (4,), (3,), (3,), (4,), (4,), (4,), (2,), (3,), (4,), (4,), (4,), (3,), (2,), (4,), (4,), (4,), (3,), (4,), (4,), (2,), (4,), (3,), (4,), (4,), (5,), (3,), (4,), (4,), (3,), (4,), (1,), (4,), (3,), (4,), (4,), (3,), (3,), (5,), (3,), (4,), (5,), (5,), (3,), (5,), (4,), (5,), (4,), (4,), (5,), (5,), (0,), (5,), (5,), (4,), (3,), (4,), (4,), (5,), (4,), (5,))",4938.84578085864,4739.94881302153,256.219,4882.450000000001,5138.669000000001,3358.499497688412,4732.868372917707,860.5113827982273,23107.993187352065,23968.504570150293
5,YOLOv3,LLNNNLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLBLLLLLLLLLLLLLLLLLLLLLLLLLLNLLLLLLBLL,"((4,), (2,), (0,), (0,), (0,), (3,), (3,), (4,), (1,), (2,), (1,), (1,), (5,), (2,), (4,), (3,), (3,), (2,), (2,), (2,), (4,), (2,), (3,), (3,), (4,), (1,), (3,), (2,), (3,), (3,), (3,), (3,), (2,), (3,), (3,), (4,), (3,), (2,), (0,), (1,), (0,), (4,), (3,), (1,), (3,), (3,), (3,), (1,), (2,), (4,), (3,), (3,), (1,), (3,), (3,), (2,), (1,), (3,), (4,), (3,), (3,), (1,), (1,), (1,), (3,), (0,), (1,), (4,), (4,), (2,), (1,), (3,), (1,), (3,), (3,))",6878.73413814125,4039.56193766321,302.088,7630.9670000000015,7933.055000000001,3292.612559905155,3973.569584248339,994.6587429966286,30322.178369602803,31316.83711259943
6,YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLNLLLLLLLLL,"((5,), (5,), (4,), (4,), (4,), (5,), (5,), (5,), (5,), (4,), (4,), (4,), (5,), (4,), (4,), (4,), (4,), (3,), (4,), (4,), (5,), (3,), (5,), (4,), (4,), (5,), (4,), (5,), (5,), (5,), (4,), (5,), (4,), (5,), (5,), (4,), (5,), (4,), (5,), (5,), (4,), (4,), (4,), (4,), (4,), (5,), (5,), (4,), (4,), (5,), (4,), (4,), (5,), (4,), (4,), (5,), (5,), (5,), (5,), (5,), (5,), (4,), (4,), (5,), (5,), (0,), (4,), (5,), (5,), (4,), (4,), (4,), (5,), (4,), (5,))",4527.23150350651,5112.43740828086,256.066,4450.732000000001,4706.798000000001,3359.21998142346,5133.01153774061,860.1820237631796,22845.658707391343,23705.840731154523
7,YOLOv3,LLNNNLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLBLNLLLLLLLLLLLLLLLLLLLLLLLLNLLLLLLBLL,"((4,), (2,), (0,), (0,), (0,), (4,), (2,), (3,), (2,), (2,), (1,), (1,), (5,), (3,), (3,), (4,), (4,), (2,), (3,), (2,), (4,), (2,), (3,), (3,), (1,), (1,), (1,), (2,), (2,), (3,), (2,), (4,), (1,), (4,), (2,), (4,), (2,), (3,), (0,), (1,), (0,), (5,), (3,), (1,), (1,), (3,), (4,), (3,), (2,), (3,), (3,), (2,), (1,), (1,), (2,), (2,), (2,), (3,), (4,), (3,), (3,), (1,), (1,), (1,), (3,), (0,), (1,), (3,), (1,), (2,), (1,), (2,), (1,), (3,), (3,))",7152.15212782416,3977.85276082882,302.382,7883.0961,8185.478099999999,3286.173626643744,3965.3392423489418,993.6797535717884,31259.150316537896,32252.830070109685
8,YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLNLLLLLLLLL,"((5,), (5,), (3,), (4,), (4,), (5,), (4,), (5,), (5,), (4,), (4,), (5,), (5,), (4,), (4,), (4,), (4,), (4,), (3,), (4,), (4,), (3,), (3,), (4,), (4,), (5,), (3,), (5,), (5,), (5,), (4,), (5,), (4,), (5,), (5,), (4,), (5,), (4,), (5,), (5,), (4,), (4,), (4,), (4,), (4,), (5,), (4,), (4,), (4,), (5,), (4,), (4,), (5,), (4,), (4,), (4,), (5,), (5,), (5,), (5,), (5,), (4,), (4,), (5,), (5,), (0,), (2,), (5,), (5,), (4,), (4,), (4,), (5,), (4,), (5,))",4571.83973833892,5066.48552715478,256.288,4496.927,4753.215,3405.020369236168,5099.72133200168,872.665860390799,22933.07455035432,23805.74041074512
9,YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLNLLLLLLLLL,"((4,), (3,), (2,), (2,), (3,), (4,), (2,), (3,), (4,), (2,), (1,), (4,), (5,), (3,), (3,), (4,), (3,), (3,), (3,), (4,), (4,), (2,), (3,), (3,), (1,), (0,), (1,), (4,), (4,), (2,), (3,), (3,), (2,), (3,), (2,), (3,), (2,), (3,), (2,), (5,), (3,), (3,), (3,), (3,), (1,), (3,), (3,), (1,), (2,), (4,), (3,), (2,), (5,), (3,), (3,), (2,), (2,), (3,), (5,), (3,), (4,), (1,), (1,), (1,), (3,), (0,), (1,), (4,), (4,), (4,), (4,), (3,), (4,), (3,), (5,))",5780.65578411447,4342.3876868051,256.238,5710.561,5966.799,3388.7737336627865,4374.36954096222,868.3326039662851,24980.10410020675,25848.43670417304
