18,3000184300
02,190.0
,02,1000,181
183,31.0
,081,10.00,1.
18437.0
0,18,2000,10838,3260.000,1089,100018138.0
0,1084,328000,183340.00
,04,160184,16.
,04835000104,3110.00
0,10851,3110.00
0,10852,3170.00
0,10853,3150.00
0,10855,3150.00
0,10856,3160.00
0,10858,3170.00
0,10859,3170.00
0,10860,3170.00
0,10862,3160.00
0,10863,3160.00
0,10865,3190.00
0,10866,3240.00
0,10867,3240.00
0,10869,3140.00
0,10870,3150.00
0,10872,3150.00
0,10873,3120.00
0,10874,3120.00
0,10876,3120.00
0,10877,3190.00
0,10880,3190.00
0,10881,3140.00
0,10883,3150.00
0,10884,3150.00
0,10885,3230.00
0,10887,3110.00
0,10888,3110.00
0,10890,3250.00
0,10891,3120.00
0,10892,3120.00
0,10894,3150.00
0,10895,3120.00
0,10897,3120.00
0,10898,3160.00
0,10899,3150.00
0,10901,3150.00
0,10902,3120.00
0,10904,3100.00
0,10905,3100.00
0,10907,3190.00
0,10908,3110.00
0,10909,3110.00
0,10911,3150.00
0,10912,3100.00
0,10914,3100.00
0,10915,3100.00
0,10916,3100.00
0,10918,3120.00
0,10919,3100.00
0,10921,3100.00
0,10923,3080.00
0,10924,3110.00
0,10926,3110.00
0,10927,3060.00
0,10929,3100.00
0,10930,3100.00
0,10932,3200.00
0,10933,3190.00
0,10934,3190.00
0,10936,3160.00
0,10937,3250.00
0,10939,3250.00
0,10940,3120.00
0,10941,3120.00
0,10943,3120.00
0,10944,3110.00
0,10946,3120.00
0,10947,3120.00
0,10948,3240.00
0,10950,3120.00
0,10951,3120.00
0,10953,3120.00
0,10954,3150.00
0,10956,3150.00
0,10957,3100.00
0,10958,3100.00
0,10960,3120.00
0,10961,3190.00
0,10963,3190.00
0,10964,3160.00
0,10966,3140.00
0,10968,3140.00
0,10969,3200.00
0,10971,3120.00
0,10972,3120.00
0,10973,3240.00
0,10975,3120.00
0,10976,3120.00
0,10978,3200.00
0,10979,3120.00
0,10981,3120.00
0,10982,3150.00
0,10983,3160.00
0,10985,3160.00
0,10986,3190.00
0,10988,3170.00
0,10989,3170.00
0,10990,3210.00
0,10992,3150.00
0,10993,3150.00
0,10995,3150.00
0,10996,3260.00
0,10997,3260.00
0,10999,3100.00
0,11000,3100.00
0,11002,3170.00
0,11003,3100.00
0,11004,3100.00
0,11006,3110.00
0,11008,3120.00
0,11010,3120.00
0,11011,3140.00
0,11013,3150.00
0,11014,3150.00
0,11015,3170.00
0,11017,3120.00
0,11018,3120.00
0,11020,3120.00
0,11021,3210.00
0,11022,3210.00
0,11024,3290.00
0,11025,3280.00
0,11027,3280.00
0,11028,3110.00
0,11029,3160.00
0,11031,3160.00
0,11032,3250.00
0,11034,3160.00
0,11035,3160.00
0,11037,3320.00
0,11038,3170.00
0,11039,3170.00
0,11041,3210.00
0,11042,3210.00
0,11044,3190.00
0,11045,3190.00
0,11046,3190.00
0,11048,3190.00
0,11049,3190.00
0,11052,3190.00
0,11053,3170.00
0,11054,3170.00
0,11056,3170.00
0,11057,3110.00
0,11059,3150.00
0,11060,3150.00
0,11062,3150.00
0,11063,3160.00
0,11064,3160.00
0,11066,3190.00
0,11067,3150.00
0,11069,3150.00
0,11070,3150.00
0,11071,3140.00
0,11073,3140.00
0,11074,3190.00
0,11076,3140.00
0,11077,3140.00
0,11078,3170.00
0,11080,3190.00
0,11081,3190.00
0,11083,3190.00
0,11084,3190.00
0,11086,3160.00
0,11087,3170.00
0,11088,3170.00
0,11090,3120.00
0,11091,3170.00
0,11094,3170.00
0,11095,3140.00
0,11096,3170.00
0,11098,3170.00
0,11099,3120.00
0,11101,3240.00
0,11102,3240.00
0,11103,3140.00
0,11105,3210.00
0,11106,3210.00
0,11108,3160.00
0,11109,3200.00
0,11111,3200.00
0,11112,3170.00
0,11113,3140.00
0,11115,3140.00
0,11116,3170.00
0,11118,3150.00
0,11119,3150.00
0,11120,3160.00
0,11122,3140.00
0,11123,3140.00
0,11125,3140.00
0,11126,3110.00
0,11127,3110.00
0,11129,3170.00
0,11130,3170.00
0,11132,3170.00
0,11133,3150.00
0,11136,3150.00
0,11137,3120.00
0,11138,3210.00
0,11140,3210.00
0,11141,3140.00
0,11143,3200.00
0,11144,3200.00
0,11145,3120.00
0,11147,3170.00
0,11148,3170.00
0,11150,3160.00
0,11151,3190.00
0,11152,3190.00
0,11154,3120.00
0,11155,3170.00
0,11157,3170.00
0,11158,3190.00
0,11159,3140.00
0,11161,3140.00
0,11162,3190.00
0,11164,3120.00
0,11165,3120.00
0,11167,3120.00
0,11168,3190.00
0,11169,3190.00
0,11171,3230.00
0,11172,3230.00
0,11174,3100.00
0,11175,3160.00
0,11176,3160.00
0,11179,3160.00
0,11180,3150.00
0,11182,3150.00
0,11183,3210.00
0,11184,3190.00
0,11186,3190.00
0,11187,3200.00
0,11189,3140.00
0,11190,3140.00
0,11192,3150.00
0,11193,3110.00
0,11194,3110.00
0,11196,3150.00
0,11197,3120.00
0,11199,3120.00
0,11200,3160.00
0,11201,3190.00
0,11203,3190.00
0,11204,3170.00
0,11206,3210.00
0,11207,3210.00
0,11208,3160.00
0,11210,3140.00
0,11211,3140.00
0,11213,3210.00
0,11214,3210.00
0,11216,3140.00
0,11217,3160.00
0,11218,3160.00
0,11220,3210.00
0,11222,3210.00
0,11224,3210.00
0,11225,3210.00
0,11226,3240.00
0,11228,3240.00
0,11229,3260.00
0,11231,3210.00
0,11232,3210.00
0,11233,3280.00
0,11235,3140.00
0,11236,3140.00
0,11238,3250.00
0,11239,3190.00
0,11241,3190.00
0,11242,3210.00
0,11243,3190.00
0,11245,3190.00
0,11246,3190.00
0,11248,3120.00
0,11249,3120.00
0,11250,3200.00
0,11252,3120.00
0,11253,3120.00
0,11255,3150.00
0,11256,3150.00
0,11257,3110.00
0,11259,3190.00
0,11260,3190.00
0,11262,3190.00
0,11264,3190.00
0,11266,3190.00
0,11267,3230.00
0,11268,3200.00
0,11270,3200.00
0,11271,3200.00
0,11273,3210.00
0,11274,3210.00
0,11275,3170.00
0,11277,3200.00
0,11278,3200.00
0,11280,3160.00
0,11281,3120.00
0,11282,3120.00
0,11284,3330.00
0,11285,3120.00
0,11287,3120.00
0,11288,3210.00
0,11289,3120.00
0,11291,3120.00
0,11292,3160.00
0,11294,3150.00
0,11295,3150.00
0,11297,3240.00
0,11298,3240.00
0,11299,3200.00
0,11301,3380.00
0,11302,3380.00
0,11304,3400.00
0,11305,3390.00
0,11307,3390.00
0,11309,3370.00
0,11310,3340.00
0,11312,3340.00
0,11313,3370.00
0,11314,3430.00
0,11316,3430.00
0,11317,3380.00
0,11319,3300.00
0,11320,3300.00
0,11322,3030.00
0,11323,3430.00
0,11324,3430.00
0,11326,3640.00
0,11327,3380.00
0,11329,3380.00
0,11330,3290.00
0,11331,3290.00
0,11333,3290.00
0,11334,3320.00
0,11336,3370.00
0,11337,3370.00
0,11338,3280.00
0,11340,3280.00
0,11341,3290.00
0,11343,3460.00
0,11344,3460.00
0,11346,3480.00
0,11347,3480.00
0,11348,3480.00
0,11351,3510.00
0,11352,3480.00
0,11354,3480.00
0,11355,3490.00
0,11356,3480.00
0,11358,3480.00
0,11359,3390.00
0,11361,3490.00
0,11362,3490.00
0,11363,3430.00
0,11365,3390.00
0,11366,3390.00
0,11368,3380.00
0,11369,3480.00
0,11371,3480.00
0,11372,3330.00
0,11373,3400.00
0,11375,3400.00
0,11376,3350.00
0,11378,3350.00
0,11379,3350.00
0,11380,3400.00
0,11382,3400.00
0,11383,3340.00
0,11385,3370.00
0,11386,3370.00
0,11387,3380.00
0,11389,3370.00
0,11390,3370.00
0,11393,3370.00
0,11394,3350.00
0,11396,3350.00
0,11397,3350.00
0,11398,3350.00
0,11400,3350.00
0,11401,3380.00
0,11403,3370.00
0,11404,3370.00
0,11405,3350.00
0,11407,3240.00
0,11408,3240.00
0,11410,3370.00
0,11411,3100.00
0,11412,3100.00
0,11414,3120.00
0,11415,3110.00
0,11417,3110.00
0,11418,3350.00
0,11419,3100.00
0,11421,3100.00
0,11422,3110.00
0,11424,3110.00
0,11425,3110.00
0,11427,3110.00
0,11428,3110.00
0,11429,3140.00
0,11431,3490.00
0,11432,3490.00
0,11435,3120.00
0,11436,3430.00
0,11437,3430.00
0,11439,3440.00
0,11440,3370.00
0,11442,3370.00
0,11443,3320.00
0,11444,3300.00
0,11446,3300.00
0,11447,3300.00
0,11449,3300.00
0,11450,3300.00
0,11452,3380.00
0,11453,3320.00
0,11454,3320.00
0,11456,3300.00
0,11457,3370.00
0,11459,3370.00
0,11460,3740.00
0,11461,3340.00
0,11463,3340.00
0,11464,3350.00
0,11466,3350.00
0,11467,3380.00
0,11468,3120.00
0,11470,3120.00
0,11471,3140.00
0,11473,3080.00
0,11474,3080.00
0,11476,3110.00
0,11478,3140.00
0,11479,3140.00
0,11481,3110.00
0,11482,3120.00
0,11484,3120.00
0,11485,3140.00
0,11486,3110.00
0,11488,3110.00
0,11489,3560.00
0,11491,3100.00
0,11492,3100.00
0,11493,3100.00
0,11495,3140.00
0,11496,3140.00
0,11498,3150.00
0,11499,3120.00
0,11501,3120.00
0,11502,3100.00
0,11503,3120.00
0,11505,3120.00
0,11506,3110.00
0,11508,3110.00
0,11509,3110.00
0,11510,3190.00
0,11512,3190.00
0,11513,3110.00
0,11515,3140.00
0,11516,3140.00
0,11517,3430.00
0,11520,3120.00
