graph,order,freq,score
Alex,GLLLLGGB,"((3, 6), (4,), (5,), (5,), (4,), (3, 2), (3, 6), (7,))",669.10894584011
Alex,GLLLLGGB,"((3, 6), (4,), (5,), (5,), (4,), (3, 2), (3, 6), (7,))",669.10894584011
Alex,GLLLLGGB,"((3, 6), (4,), (5,), (5,), (4,), (3, 2), (3, 6), (4,))",671.4117223043867
Alex,GLLLLGGB,"((3, 4), (4,), (5,), (5,), (4,), (3, 2), (3, 6), (7,))",676.1518462535138
Alex,GLLLGGGB,"((3, 4), (4,), (5,), (5,), (3, 4), (3, 4), (3, 6), (7,))",685.4288609913516
Alex,GLLLLGGB,"((3, 6), (4,), (5,), (5,), (4,), (3, 6), (1, 7), (7,))",686.4394184015855
Alex,GLLLLGGB,"((3, 6), (4,), (5,), (5,), (4,), (3, 6), (1, 7), (7,))",686.4394184015855
Alex,GLLLLGGB,"((3, 7), (4,), (5,), (5,), (4,), (4, 3), (3, 6), (4,))",687.1210125143092
Alex,GLLLGGGB,"((3, 4), (4,), (5,), (5,), (3, 4), (3, 4), (3, 6), (4,))",688.7659465282601
Alex,GLLLLGGB,"((3, 6), (4,), (5,), (5,), (4,), (4, 3), (4, 3), (7,))",691.0122570652701
Alex,GLLLGGGB,"((3, 6), (4,), (5,), (5,), (1, 3), (3, 2), (3, 6), (7,))",691.4848774532329
Alex,GLLLGGGB,"((2, 6), (4,), (5,), (5,), (4, 5), (3, 2), (3, 6), (7,))",692.9901673054417
Alex,GLLLGGGB,"((3, 6), (4,), (5,), (5,), (3, 4), (3, 4), (1, 7), (4,))",693.5116505613895
Alex,GLLLGGGB,"((3, 6), (4,), (5,), (5,), (3, 4), (3, 4), (1, 7), (4,))",693.5116505613895
Alex,GLLLGGGB,"((3, 6), (4,), (5,), (5,), (1, 3), (3, 2), (3, 6), (4,))",693.7876539175096
Alex,GLLLLGGL,"((3, 7), (4,), (5,), (5,), (4,), (4, 6), (3, 6), (3,))",694.1779728086503
Alex,GLLLGGGB,"((3, 7), (4,), (5,), (5,), (1, 3), (3, 3), (3, 6), (4,))",695.6447343249083
Alex,GLLLLGGB,"((3, 4), (4,), (5,), (5,), (4,), (3, 6), (1, 7), (4,))",696.1593476461871
Alex,GLLLBGGB,"((3, 6), (4,), (5,), (5,), (3,), (2, 1), (3, 6), (4,))",696.4100374389005
Alex,GLGLLGGB,"((3, 6), (4,), (4, 2), (5,), (4,), (3, 2), (3, 6), (3,))",699.7764068830817
Alex,GLLLGGGL,"((3, 6), (4,), (5,), (5,), (1, 6), (3, 2), (3, 6), (1,))",702.0589737051345
Alex,GLLLGGGB,"((3, 6), (4,), (5,), (5,), (1, 3), (3, 2), (3, 6), (1,))",704.3556987860095
Alex,GLGLLGGB,"((3, 7), (4,), (3, 7), (5,), (4,), (2, 1), (3, 6), (4,))",705.601106427697
Alex,GLLLGGGB,"((3, 4), (4,), (5,), (5,), (1, 3), (2, 1), (3, 6), (4,))",706.5311823346723
Alex,GLLLLGGG,"((3, 4), (4,), (5,), (5,), (4,), (3, 2), (3, 6), (1, 3))",706.7908322039498
Alex,GGLLLGGB,"((2, 6), (4, 5), (5,), (5,), (5,), (4, 1), (3, 6), (4,))",707.8550260764874
Alex,GLLLGGGB,"((3, 6), (4,), (5,), (5,), (1, 3), (2, 1), (1, 5), (4,))",708.8440441298943
Alex,GLLLGGGB,"((3, 6), (4,), (5,), (5,), (1, 3), (2, 1), (1, 5), (4,))",708.8440441298943
Alex,GLLLLGGB,"((1, 5), (4,), (5,), (5,), (4,), (3, 2), (3, 6), (4,))",710.1581765356432
Alex,GLLLLGGB,"((1, 5), (4,), (5,), (5,), (4,), (3, 2), (3, 6), (7,))",710.7128870959492
Alex,GLLLLGGB,"((1, 5), (4,), (5,), (5,), (4,), (3, 2), (3, 6), (7,))",710.7128870959492
Alex,GLLLLGGB,"((1, 5), (4,), (5,), (5,), (4,), (3, 2), (3, 6), (7,))",710.7128870959492
Alex,GLLLLGGL,"((1, 5), (4,), (5,), (5,), (4,), (3, 2), (3, 2), (1,))",711.0546797810125
Alex,GLLLBGBB,"((3, 6), (4,), (5,), (5,), (5,), (3, 2), (7,), (7,))",711.203080966049
Alex,GLLLLGGL,"((1, 5), (4,), (5,), (5,), (4,), (3, 2), (3, 6), (1,))",711.2290758118592
Alex,GLLLLGGL,"((1, 5), (4,), (5,), (5,), (4,), (3, 2), (3, 6), (1,))",711.2290758118592
Alex,GGLBLGGB,"((3, 6), (4, 2), (5,), (7,), (5,), (3, 2), (3, 6), (7,))",712.1969400153263
Alex,GLLBLGGL,"((3, 7), (4,), (5,), (6,), (4,), (3, 2), (3, 6), (1,))",712.6324484959916
Alex,GGLLLGGB,"((3, 6), (2, 3), (5,), (5,), (4,), (3, 6), (1, 7), (4,))",715.4751480251522
Alex,GLLLBGGG,"((3, 6), (4,), (5,), (5,), (5,), (3, 6), (3, 6), (2, 2))",715.7112918411218
Alex,GLLLGGGB,"((3, 2), (4,), (5,), (5,), (1, 3), (3, 2), (3, 6), (7,))",716.8304291194016
Alex,GLLLGGGB,"((3, 2), (4,), (5,), (5,), (1, 3), (3, 2), (3, 6), (7,))",716.8304291194016
